Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
PFBCOLOM;34220;0,41;13751654580;403245;140;33860;34280;33860;34102,48;BANCO BANCOLOMBIA;EQTY
ECOPETROL;2295;-1,08;12090801020;5244266;-25;2325;2325;2280;2305,53;ECOPETROL;EQTY
ISA;18200;-;6737981360;369708;-;18240;18400;18200;18225,14;ISA INTERCONEXION ELECTRICA;EQTY
BCOLOMBIA;35100;-0,57;6398499220;182008;-200;35320;35460;35000;35155,04;BANCO BANCOLOMBIA;EQTY
GRUPOARGOS;17000;0,71;5230849140;308117;120;16680;17120;16680;16976,83;GRUPO ARGOS;EQTY
GEB;2555;2,2;3495449360;1381212;55;2535;2565;2520;2530,71;GRUPO ENERGIA BOGOTA;EQTY
PFGRUPSURA;25020;2,46;2790722380;111735;600;24700;25080;24500;24976,26;GRUPO SURA;EQTY
CEMARGOS;8350;0,24;1682617130;201668;20;8310;8380;8310;8343,5;CEMENTOS ARGOS;EQTY
PFAVAL;432;-0,23;1460969323;3377529;-1;435;436;431;432,56;GRUPO AVAL ACCIONES Y VALORES;EQTY
CORFICOLCF;14180;-0,56;1377398200;96136;-80;14260;14520;14180;14327,6;CORFICOLOMBIANA;EQTY
CELSIA;4035;-1,59;608073895;148569;-65;4100;4100;4020;4092,87;CELSIA;EQTY
PFDAVVNDA;20440;2,2;404817680;19961;440;20140;20440;20140;20280,43;BANCO DAVIVIENDA;EQTY
PEI;75100;-;375071020;5007;-;74640;75100;74400;74909,33;PEI;EQTY
EXITO;2150;-2,05;248717650;115077;-45;2160;2160;2150;2161,32;EXITO;EQTY
PFGRUPOARG;11900;-;247174200;20714;-;12000;12000;11900;11932,71;GRUPO ARGOS;EQTY
ICOLCAP;13845;-0,04;196204732,5;14174;-5;13800;13845;13800;13842,58;FONDO BURSATIL ISHARES COLCAP;EQTY
GRUBOLIVAR;61600;-0,36;133260920;2199;-220;60700;61600;59500;60600,69;GRUPO BOLIVAR;EQTY
PFCORFICOL;13100;1,39;105325820;8014;180;13100;13100;13100;13142,73;CORFICOLOMBIANA;EQTY
MINEROS;3305;2,8;95742145;29370;90;3240;3305;3240;3259,86;MINEROS;EQTY
TERPEL;9010;0,11;73990640;8227;10;9000;9010;9000;8993,64;ORGANIZACION TERPEL;EQTY
PFCEMARGOS;7800;-;73234900;9387;-;7800;7800;7800;7801,74;CEMENTOS ARGOS;EQTY
ENKA;15,8;-;62028402,2;3924020;-;15,8;15,8;15,8;15,81;ENKA DE COLOMBIA;EQTY
BHI;298;-;57655081;193750;-;297;298;297;297,57;BAC HOLDING INTERNATIONAL CORP;EQTY
NUTRESA;51780;-0,04;57530760;1128;-20;50200;51800;50200;51002,45;GRUPO NUTRESA;EQTY
CONCONCRET;297;4,21;31740709;107345;12;296;297;296;295,69;CONCONCRETO S.A;EQTY
BMC;1910;-;30850320;16152;-;1910;1910;1910;1910;BMC BOLSA MERCANTIL DE COL;EQTY
OCCIDENTE;13660;-;29120880;2132;-;13660;13660;13660;13658,95;BANCO DE OCCIDENTE;EQTY
CNEC;12780;-0,62;18829880;1470;-80;12780;12780;12780;12809,44;CANACOL ENERGY LTD;EQTY
GRUPOSURA;-;-;13285580;388;-;-;-;-;34241,19;GRUPO SURA;EQTY
BVC;-;-;10674160;1080;-;-;-;-;9883,48;BOLSA DE VALORES DE COLOMBIA;EQTY
BOGOTA;-;-;9347700;352;-;-;-;-;26555,97;BANCO DE BOGOTA;EQTY
GRUPOAVAL;-;-;8503186;19408;-;-;-;-;438,13;GRUPO AVAL ACCIONES Y VALORES;EQTY
PROMIGAS;-;-;6174810;873;-;-;-;-;7073,09;PROMIGAS;EQTY
HCOLSEL;-;-;1526533;103;-;-;-;-;14820,71;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
ETB;-;-;843903,5;9710;-;-;-;-;86,91;ETB;EQTY
GXTESCOL;-;-;494500;10;-;-;-;-;49450;FONDO BURSATIL GLOBAL X TES COLOMBIA COP GBI-EM ID ETF;EQTY
FABRICATO;-;-;34809,6;14504;-;-;-;-;2,4;FABRICATO;EQTY
