Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2024-01-02;CEMARGOS;6,160.00;6,330.00;6,283.71;6,100.00;50.00;0.82;1,043,924.00;6,559,711,820.00
2024-01-03;CEMARGOS;6,150.00;6,230.00;6,167.31;6,090.00;-10.00;-0.16;452,270.00;2,789,291,320.00
2024-01-04;CEMARGOS;6,240.00;6,240.00;6,211.68;6,160.00;90.00;1.46;335,040.00;2,081,160,380.00
2024-01-05;CEMARGOS;6,430.00;6,430.00;6,304.08;6,230.00;190.00;3.04;454,025.00;2,862,208,020.00
2024-01-09;CEMARGOS;6,350.00;6,500.00;6,442.21;6,350.00;-80.00;-1.24;557,823.00;3,593,613,100.00
2024-01-10;CEMARGOS;6,450.00;6,470.00;6,445.13;6,350.00;100.00;1.57;452,794.00;2,918,318,220.00
2024-01-11;CEMARGOS;6,550.00;6,570.00;6,520.78;6,510.00;100.00;1.55;773,873.00;5,046,251,910.00
2024-01-12;CEMARGOS;6,600.00;6,760.00;6,632.15;6,560.00;50.00;0.76;734,346.00;4,870,296,310.00
2024-01-15;CEMARGOS;6,700.00;6,720.00;6,692.38;6,650.00;100.00;1.52;390,363.00;2,612,456,300.00
2024-01-16;CEMARGOS;6,700.00;6,760.00;6,728.37;6,660.00;0.00;0.00;394,522.00;2,654,490,430.00
2024-01-17;CEMARGOS;6,700.00;6,750.00;6,711.64;6,630.00;0.00;0.00;523,435.00;3,513,106,200.00
2024-01-18;CEMARGOS;6,660.00;6,750.00;6,684.79;6,600.00;-40.00;-0.60;432,904.00;2,893,870,820.00
2024-01-19;CEMARGOS;6,510.00;6,640.00;6,562.58;6,510.00;-150.00;-2.25;313,464.00;2,057,133,300.00
2024-01-22;CEMARGOS;6,680.00;6,680.00;6,541.92;6,190.00;170.00;2.61;342,285.00;2,239,202,500.00
2024-01-23;CEMARGOS;6,580.00;6,700.00;6,607.02;6,580.00;-100.00;-1.50;1,349,718.00;8,917,614,960.00
2024-01-24;CEMARGOS;6,420.00;6,600.00;6,551.84;6,420.00;-160.00;-2.43;335,870.00;2,200,565,210.00
2024-01-25;CEMARGOS;6,600.00;6,600.00;6,502.63;6,450.00;180.00;2.80;267,716.00;1,740,858,790.00
2024-01-26;CEMARGOS;6,600.00;6,600.00;6,557.51;6,540.00;0.00;0.00;289,475.00;1,898,235,240.00
2024-01-29;CEMARGOS;6,530.00;6,560.00;6,550.73;6,520.00;-70.00;-1.06;200,462.00;1,313,172,210.00
2024-01-30;CEMARGOS;6,430.00;6,520.00;6,460.17;6,410.00;-100.00;-1.53;337,403.00;2,179,680,020.00
2024-01-31;CEMARGOS;6,400.00;6,480.00;6,451.95;6,340.00;-30.00;-0.47;447,186.00;2,885,220,490.00
2024-02-01;CEMARGOS;6,300.00;6,440.00;6,409.47;6,300.00;-100.00;-1.56;286,459.00;1,836,051,310.00
2024-02-02;CEMARGOS;6,360.00;6,410.00;6,372.73;6,340.00;60.00;0.95;571,108.00;3,639,516,000.00
2024-02-05;CEMARGOS;6,370.00;6,390.00;6,357.57;6,320.00;10.00;0.16;125,419.00;797,359,770.00
2024-02-06;CEMARGOS;6,350.00;6,470.00;6,389.34;6,350.00;-20.00;-0.31;325,956.00;2,082,644,810.00
2024-02-07;CEMARGOS;6,400.00;6,400.00;6,347.07;6,300.00;50.00;0.79;1,360,959.00;8,638,099,150.00
2024-02-08;CEMARGOS;6,130.00;6,400.00;6,282.53;6,130.00;-270.00;-4.22;390,836.00;2,455,437,490.00
2024-02-09;CEMARGOS;6,280.00;6,390.00;6,313.63;6,240.00;150.00;2.45;265,599.00;1,676,894,560.00
2024-02-12;CEMARGOS;6,400.00;6,450.00;6,303.73;6,280.00;120.00;1.91;559,848.00;3,529,131,740.00
2024-02-13;CEMARGOS;6,350.00;6,400.00;6,366.32;6,340.00;-50.00;-0.78;56,501.00;359,703,290.00
2024-02-14;CEMARGOS;6,300.00;6,400.00;6,312.18;6,250.00;-50.00;-0.79;207,512.00;1,309,853,000.00
2024-02-15;CEMARGOS;6,350.00;6,350.00;6,334.94;6,310.00;50.00;0.79;51,877.00;328,637,820.00
2024-02-16;CEMARGOS;6,450.00;6,450.00;6,308.47;6,300.00;100.00;1.57;368,021.00;2,321,651,230.00
2024-02-19;CEMARGOS;6,280.00;6,450.00;6,317.68;6,260.00;-170.00;-2.64;129,074.00;815,447,870.00
2024-02-20;CEMARGOS;6,400.00;6,400.00;6,254.89;6,110.00;120.00;1.91;63,336.00;396,159,830.00
2024-02-21;CEMARGOS;6,650.00;6,670.00;6,572.08;6,500.00;250.00;3.91;1,528,633.00;10,046,295,980.00
2024-02-22;CEMARGOS;6,750.00;6,750.00;6,660.09;6,610.00;100.00;1.50;350,215.00;2,332,462,800.00
2024-02-23;CEMARGOS;6,830.00;6,830.00;6,792.98;6,680.00;80.00;1.19;292,022.00;1,983,700,590.00
2024-02-26;CEMARGOS;6,790.00;6,830.00;6,788.43;6,750.00;-40.00;-0.59;163,261.00;1,108,285,930.00
2024-02-27;CEMARGOS;6,700.00;6,770.00;6,748.65;6,700.00;-90.00;-1.33;187,329.00;1,264,217,820.00
