Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2024-01-02;CORFICOLCF;13,840.00;13,920.00;13,507.58;13,240.00;340.00;2.52;8,229.00;111,153,840.00
2024-01-03;CORFICOLCF;13,700.00;13,840.00;13,686.96;13,520.00;-140.00;-1.01;18,496.00;253,154,040.00
2024-01-04;CORFICOLCF;14,480.00;14,500.00;14,278.15;13,980.00;780.00;5.69;47,241.00;674,514,020.00
2024-01-05;CORFICOLCF;15,080.00;15,080.00;14,804.85;14,500.00;600.00;4.14;64,029.00;947,939,880.00
2024-01-09;CORFICOLCF;16,080.00;16,080.00;15,722.35;14,980.00;1,000.00;6.63;45,073.00;708,653,680.00
2024-01-10;CORFICOLCF;16,640.00;16,800.00;16,672.52;16,480.00;560.00;3.48;26,880.00;448,157,400.00
2024-01-11;CORFICOLCF;16,480.00;16,480.00;16,440.30;16,320.00;-160.00;-0.96;20,493.00;336,911,100.00
2024-01-12;CORFICOLCF;16,920.00;16,920.00;16,598.30;16,300.00;440.00;2.67;66,034.00;1,096,051,840.00
2024-01-15;CORFICOLCF;16,940.00;16,940.00;16,889.17;16,940.00;20.00;0.12;2,677.00;45,212,300.00
2024-01-16;CORFICOLCF;17,000.00;17,240.00;16,982.40;16,780.00;60.00;0.35;160,370.00;2,723,467,100.00
2024-01-17;CORFICOLCF;16,140.00;16,440.00;16,317.83;16,140.00;-860.00;-5.06;21,524.00;351,225,040.00
2024-01-18;CORFICOLCF;15,840.00;16,260.00;16,039.08;15,840.00;-300.00;-1.86;94,697.00;1,518,852,460.00
2024-01-19;CORFICOLCF;16,100.00;16,100.00;15,941.64;15,840.00;260.00;1.64;15,516.00;247,350,520.00
2024-01-22;CORFICOLCF;16,440.00;16,440.00;15,911.58;15,620.00;340.00;2.11;28,181.00;448,404,320.00
2024-01-23;CORFICOLCF;16,120.00;16,400.00;16,222.28;16,120.00;-320.00;-1.95;107,247.00;1,739,791,380.00
2024-01-24;CORFICOLCF;15,980.00;16,100.00;15,902.14;15,720.00;-140.00;-0.87;16,338.00;259,809,120.00
2024-01-25;CORFICOLCF;16,080.00;16,080.00;15,990.51;15,820.00;100.00;0.63;54,597.00;873,033,860.00
2024-01-26;CORFICOLCF;16,160.00;16,340.00;16,324.52;16,160.00;80.00;0.50;61,761.00;1,008,218,460.00
2024-01-29;CORFICOLCF;16,480.00;16,480.00;16,397.18;16,380.00;320.00;1.98;3,543.00;58,095,200.00
