Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2024-01-02;GRUPOARGOS;12,900.00;13,000.00;12,791.12;12,440.00;480.00;3.86;148,023.00;1,893,380,600.00
2024-01-03;GRUPOARGOS;13,100.00;13,640.00;13,095.91;12,660.00;200.00;1.55;132,616.00;1,736,726,560.00
2024-01-04;GRUPOARGOS;13,460.00;13,520.00;13,469.21;13,120.00;360.00;2.75;136,806.00;1,842,669,340.00
2024-01-05;GRUPOARGOS;13,700.00;13,780.00;13,577.45;13,280.00;240.00;1.78;128,557.00;1,745,476,160.00
2024-01-09;GRUPOARGOS;13,900.00;14,240.00;13,939.86;13,500.00;200.00;1.46;194,769.00;2,715,052,180.00
2024-01-10;GRUPOARGOS;13,800.00;14,360.00;13,828.39;13,760.00;-100.00;-0.72;475,026.00;6,568,846,200.00
2024-01-11;GRUPOARGOS;13,880.00;14,000.00;13,973.42;13,880.00;80.00;0.58;88,315.00;1,234,062,540.00
2024-01-12;GRUPOARGOS;13,800.00;13,900.00;13,855.26;13,700.00;-80.00;-0.58;291,247.00;4,035,303,640.00
2024-01-15;GRUPOARGOS;13,900.00;13,900.00;13,788.35;13,700.00;100.00;0.72;159,203.00;2,195,146,700.00
2024-01-16;GRUPOARGOS;13,720.00;14,120.00;13,969.32;13,600.00;-180.00;-1.29;393,345.00;5,494,760,940.00
2024-01-17;GRUPOARGOS;13,780.00;13,960.00;13,891.02;13,720.00;60.00;0.44;208,865.00;2,901,347,540.00
2024-01-18;GRUPOARGOS;13,540.00;13,880.00;13,653.68;13,540.00;-240.00;-1.74;283,493.00;3,870,722,140.00
2024-01-19;GRUPOARGOS;13,500.00;13,700.00;13,490.29;13,340.00;-40.00;-0.30;182,276.00;2,458,957,000.00
2024-01-22;GRUPOARGOS;13,640.00;14,000.00;13,887.30;12,920.00;140.00;1.04;280,804.00;3,899,609,540.00
2024-01-23;GRUPOARGOS;13,580.00;13,800.00;13,753.96;13,580.00;-60.00;-0.44;420,907.00;5,789,138,880.00
2024-01-24;GRUPOARGOS;13,660.00;13,700.00;13,627.60;13,580.00;80.00;0.59;107,314.00;1,462,431,920.00
2024-01-25;GRUPOARGOS;13,700.00;13,760.00;13,678.72;13,580.00;40.00;0.29;117,012.00;1,600,574,420.00
2024-01-26;GRUPOARGOS;13,700.00;13,800.00;13,704.99;13,520.00;0.00;0.00;106,798.00;1,463,665,280.00
2024-01-29;GRUPOARGOS;13,800.00;13,900.00;13,826.48;13,700.00;100.00;0.73;217,185.00;3,002,903,600.00
2024-01-30;GRUPOARGOS;13,760.00;13,840.00;13,782.01;13,600.00;-40.00;-0.29;187,456.00;2,583,521,400.00
2024-01-31;GRUPOARGOS;13,720.00;13,880.00;13,801.36;13,720.00;-40.00;-0.29;84,102.00;1,160,721,680.00
2024-02-01;GRUPOARGOS;13,600.00;13,900.00;13,753.21;13,600.00;-120.00;-0.87;73,631.00;1,012,662,760.00
2024-02-02;GRUPOARGOS;13,740.00;13,800.00;13,731.50;13,600.00;140.00;1.03;84,037.00;1,153,954,160.00
2024-02-05;GRUPOARGOS;13,420.00;13,600.00;13,551.79;13,420.00;-320.00;-2.33;68,904.00;933,772,400.00
2024-02-06;GRUPOARGOS;13,540.00;13,600.00;13,539.72;13,440.00;120.00;0.89;54,129.00;732,891,580.00
2024-02-07;GRUPOARGOS;13,300.00;13,460.00;13,344.02;13,200.00;-240.00;-1.77;64,142.00;855,912,120.00
2024-02-08;GRUPOARGOS;13,200.00;13,400.00;13,227.34;13,140.00;-100.00;-0.75;92,437.00;1,222,695,780.00
2024-02-09;GRUPOARGOS;12,780.00;13,200.00;12,983.55;12,780.00;-420.00;-3.18;90,635.00;1,176,763,780.00
2024-02-12;GRUPOARGOS;12,800.00;12,900.00;12,801.69;12,800.00;20.00;0.16;69,258.00;886,619,640.00
2024-02-13;GRUPOARGOS;12,400.00;12,660.00;12,578.87;12,400.00;-400.00;-3.12;216,449.00;2,722,682,840.00
2024-02-14;GRUPOARGOS;12,200.00;12,400.00;12,282.52;12,200.00;-200.00;-1.61;70,928.00;871,174,680.00
2024-02-15;GRUPOARGOS;12,300.00;12,320.00;12,287.15;12,200.00;100.00;0.82;53,569.00;658,210,420.00
2024-02-16;GRUPOARGOS;12,820.00;12,980.00;12,292.79;12,200.00;520.00;4.23;646,766.00;7,950,559,720.00
2024-02-19;GRUPOARGOS;12,540.00;12,620.00;12,600.84;12,540.00;-280.00;-2.18;20,853.00;262,765,240.00
2024-02-20;GRUPOARGOS;12,760.00;12,760.00;12,572.35;12,380.00;220.00;1.75;52,053.00;654,428,780.00
2024-02-21;GRUPOARGOS;12,960.00;13,200.00;13,032.01;12,900.00;200.00;1.57;166,870.00;2,174,652,160.00
2024-02-22;GRUPOARGOS;13,260.00;13,260.00;13,047.78;13,000.00;300.00;2.31;51,672.00;674,205,060.00
2024-02-23;GRUPOARGOS;13,580.00;13,600.00;13,444.86;13,000.00;320.00;2.41;397,704.00;5,347,073,160.00
