Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2024-01-02;ISA;16,320.00;16,340.00;15,916.38;15,420.00;840.00;5.43;333,946.00;5,315,213,000.00
2024-01-03;ISA;16,160.00;16,380.00;16,253.86;16,060.00;-160.00;-0.98;349,464.00;5,680,138,780.00
2024-01-04;ISA;16,600.00;16,780.00;16,573.94;16,320.00;440.00;2.72;590,039.00;9,779,268,940.00
2024-01-05;ISA;17,000.00;17,120.00;16,986.86;16,620.00;400.00;2.41;414,704.00;7,044,517,780.00
2024-01-09;ISA;17,660.00;17,740.00;17,469.97;16,880.00;660.00;3.88;247,113.00;4,317,057,340.00
2024-01-10;ISA;17,400.00;17,940.00;17,667.54;17,320.00;-260.00;-1.47;209,076.00;3,693,858,840.00
2024-01-11;ISA;17,400.00;17,580.00;17,403.54;17,340.00;0.00;0.00;312,386.00;5,436,623,340.00
2024-01-12;ISA;17,700.00;17,700.00;17,585.46;17,400.00;300.00;1.72;305,426.00;5,371,057,500.00
2024-01-15;ISA;17,480.00;17,660.00;17,524.97;17,400.00;-220.00;-1.24;117,841.00;2,065,159,760.00
2024-01-16;ISA;18,040.00;18,060.00;17,890.80;17,540.00;560.00;3.20;415,951.00;7,441,697,000.00
2024-01-17;ISA;17,400.00;18,140.00;17,714.53;17,400.00;-640.00;-3.55;554,381.00;9,820,599,780.00
2024-01-18;ISA;17,020.00;17,640.00;17,400.71;17,020.00;-380.00;-2.18;807,275.00;14,047,158,960.00
2024-01-19;ISA;17,220.00;17,220.00;16,936.38;16,700.00;200.00;1.18;325,771.00;5,517,381,220.00
2024-01-22;ISA;17,000.00;17,220.00;17,040.90;16,800.00;-220.00;-1.28;266,958.00;4,549,204,480.00
2024-01-23;ISA;16,880.00;17,360.00;17,132.11;16,880.00;-120.00;-0.71;328,638.00;5,630,263,720.00
2024-01-24;ISA;16,740.00;16,960.00;16,793.34;16,720.00;-140.00;-0.83;198,773.00;3,338,063,100.00
2024-01-25;ISA;16,900.00;16,980.00;16,742.81;16,540.00;160.00;0.96;301,519.00;5,048,275,580.00
2024-01-26;ISA;17,100.00;17,280.00;17,125.41;16,860.00;200.00;1.18;329,697.00;5,646,196,400.00
2024-01-29;ISA;17,100.00;17,220.00;17,103.13;17,020.00;0.00;0.00;263,521.00;4,507,034,080.00
2024-01-30;ISA;16,800.00;17,160.00;16,859.06;16,800.00;-300.00;-1.75;510,066.00;8,599,231,520.00
2024-01-31;ISA;16,860.00;17,160.00;17,004.71;16,800.00;60.00;0.36;315,020.00;5,356,824,220.00
2024-02-01;ISA;16,960.00;17,000.00;16,950.86;16,880.00;100.00;0.59;241,892.00;4,100,277,500.00
2024-02-02;ISA;16,960.00;16,960.00;16,924.49;16,760.00;0.00;0.00;86,731.00;1,467,877,960.00
2024-02-05;ISA;16,880.00;16,940.00;16,881.35;16,860.00;-80.00;-0.47;120,010.00;2,025,930,500.00
2024-02-06;ISA;16,820.00;16,820.00;16,785.86;16,700.00;-60.00;-0.36;133,552.00;2,241,785,660.00
2024-02-07;ISA;16,760.00;16,860.00;16,801.38;16,740.00;-60.00;-0.36;228,412.00;3,837,637,940.00
2024-02-08;ISA;16,300.00;16,760.00;16,604.43;16,300.00;-460.00;-2.74;269,162.00;4,469,280,400.00
2024-02-09;ISA;16,140.00;16,520.00;16,302.71;16,140.00;-160.00;-0.98;235,899.00;3,845,792,780.00
2024-02-12;ISA;16,220.00;16,440.00;16,312.08;16,220.00;80.00;0.50;70,394.00;1,148,272,480.00
2024-02-13;ISA;16,000.00;16,220.00;16,029.38;16,000.00;-220.00;-1.36;312,107.00;5,002,880,740.00
2024-02-14;ISA;16,600.00;16,620.00;16,353.63;16,120.00;600.00;3.75;301,394.00;4,928,884,580.00
2024-02-15;ISA;16,600.00;16,820.00;16,674.02;16,560.00;0.00;0.00;77,007.00;1,284,016,060.00
2024-02-16;ISA;16,800.00;16,800.00;16,765.56;16,640.00;200.00;1.20;115,617.00;1,938,383,180.00
2024-02-19;ISA;16,600.00;16,600.00;16,294.30;16,000.00;-200.00;-1.19;228,343.00;3,720,690,400.00
2024-02-20;ISA;16,800.00;16,800.00;16,560.89;16,320.00;200.00;1.20;177,819.00;2,944,840,940.00
2024-02-21;ISA;17,140.00;17,180.00;16,791.43;16,640.00;340.00;2.02;797,793.00;13,396,082,060.00
2024-02-22;ISA;17,100.00;17,320.00;17,166.23;17,100.00;-40.00;-0.23;282,119.00;4,842,920,860.00
2024-02-23;ISA;17,100.00;17,140.00;17,115.34;17,060.00;0.00;0.00;499,888.00;8,555,752,240.00
2024-02-26;ISA;17,200.00;17,400.00;17,191.91;16,960.00;100.00;0.58;185,033.00;3,181,070,660.00
2024-02-27;ISA;17,340.00;17,400.00;17,291.64;17,180.00;140.00;0.81;134,540.00;2,326,417,700.00
2024-02-28;ISA;17,160.00;17,440.00;17,367.18;17,160.00;-180.00;-1.04;192,055.00;3,335,453,960.00
2024-02-29;ISA;16,720.00;17,180.00;16,744.09;16,680.00;-440.00;-2.56;1,369,569.00;22,932,182,000.00
2024-03-01;ISA;16,860.00;17,140.00;16,988.91;16,720.00;140.00;0.84;210,754.00;3,580,481,320.00
2024-03-04;ISA;16,900.00;16,980.00;16,875.74;16,600.00;40.00;0.24;153,555.00;2,591,354,000.00
2024-03-05;ISA;17,200.00;17,200.00;17,151.81;16,900.00;300.00;1.78;266,136.00;4,564,713,360.00
2024-03-06;ISA;17,740.00;17,980.00;17,744.39;17,280.00;540.00;3.14;612,659.00;10,871,260,740.00
2024-03-07;ISA;17,980.00;18,100.00;17,973.42;17,380.00;240.00;1.35;461,027.00;8,286,230,660.00
2024-03-08;ISA;18,200.00;18,480.00;18,247.53;18,000.00;220.00;1.22;840,251.00;15,332,505,100.00
2024-03-11;ISA;18,400.00;18,400.00;18,247.19;17,980.00;200.00;1.10;293,109.00;5,348,414,260.00
2024-03-12;ISA;17,640.00;18,240.00;17,739.99;17,080.00;-760.00;-4.13;1,339,219.00;23,757,733,960.00
2024-03-13;ISA;18,500.00;18,500.00;18,313.98;17,500.00;860.00;4.88;388,119.00;7,108,003,660.00
2024-03-14;ISA;19,200.00;19,200.00;18,633.32;18,280.00;700.00;3.78;641,999.00;11,962,574,860.00
2024-03-15;ISA;19,960.00;19,960.00;19,726.51;18,680.00;760.00;3.96;2,310,908.00;45,586,158,440.00
2024-03-18;ISA;19,700.00;20,340.00;19,816.54;19,000.00;-260.00;-1.30;510,175.00;10,109,904,420.00
2024-03-19;ISA;19,300.00;19,660.00;19,546.86;19,300.00;-400.00;-2.03;120,885.00;2,362,922,140.00
2024-03-20;ISA;19,100.00;19,460.00;19,134.98;18,980.00;-200.00;-1.04;230,860.00;4,417,501,860.00
2024-03-21;ISA;19,340.00;19,340.00;19,150.51;18,940.00;240.00;1.26;511,136.00;9,788,514,760.00
2024-03-22;ISA;19,420.00;19,420.00;19,384.04;19,240.00;80.00;0.41;157,004.00;3,043,371,700.00
2024-03-26;ISA;19,400.00;19,500.00;19,433.42;19,300.00;-20.00;-0.10;162,065.00;3,149,476,880.00
2024-03-27;ISA;19,780.00;19,780.00;19,586.94;19,260.00;380.00;1.96;120,625.00;2,362,674,980.00
2024-04-01;ISA;19,600.00;19,720.00;19,610.38;19,440.00;-180.00;-0.91;219,905.00;4,312,421,300.00
2024-04-02;ISA;19,860.00;19,980.00;19,713.66;19,560.00;260.00;1.33;438,854.00;8,651,419,700.00
