Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2024-01-02;PFAVAL;488.00;488.00;485.50;485.00;3.00;0.62;275,276.00;133,646,416.00
2024-01-03;PFAVAL;480.00;490.00;488.23;480.00;-8.00;-1.64;629,684.00;307,430,069.00
2024-01-04;PFAVAL;492.00;492.00;487.19;480.00;12.00;2.50;737,208.00;359,163,004.00
2024-01-05;PFAVAL;503.00;505.00;500.98;486.00;11.00;2.24;1,379,792.00;691,254,655.00
2024-01-09;PFAVAL;528.00;528.00;517.63;501.00;25.00;4.97;2,296,481.00;1,188,719,039.00
2024-01-10;PFAVAL;518.00;528.00;514.95;494.00;-10.00;-1.89;1,573,750.00;810,400,048.00
2024-01-11;PFAVAL;510.00;516.00;510.93;505.00;-8.00;-1.54;1,227,567.00;627,203,078.00
2024-01-12;PFAVAL;514.00;515.00;512.16;510.00;4.00;0.78;1,826,917.00;935,673,041.00
2024-01-15;PFAVAL;518.00;519.00;518.63;518.00;4.00;0.78;414,041.00;214,735,307.00
2024-01-16;PFAVAL;528.00;528.00;524.23;517.00;10.00;1.93;6,075,414.00;3,184,930,373.00
2024-01-17;PFAVAL;515.00;527.00;524.21;515.00;-13.00;-2.46;5,129,885.00;2,689,147,090.00
2024-01-18;PFAVAL;512.00;516.00;514.80;512.00;-3.00;-0.58;284,104.00;146,257,460.00
2024-01-19;PFAVAL;509.00;512.00;510.86;502.00;-3.00;-0.59;8,577,035.00;4,381,677,124.00
2024-01-22;PFAVAL;502.00;506.00;505.89;496.00;-7.00;-1.38;10,441,590.00;5,282,256,393.00
2024-01-23;PFAVAL;489.00;503.00;498.92;489.00;-13.00;-2.59;18,499,696.00;9,229,842,440.00
2024-01-24;PFAVAL;489.00;493.00;489.64;487.00;0.00;0.00;217,154.00;106,327,326.00
2024-01-25;PFAVAL;493.00;493.00;490.95;489.00;4.00;0.82;225,740.00;110,826,909.00
2024-01-26;PFAVAL;499.00;499.00;491.47;482.00;6.00;1.22;433,111.00;212,861,284.00
2024-01-29;PFAVAL;501.00;501.00;498.36;495.00;2.00;0.40;660,478.00;329,157,721.00
2024-01-30;PFAVAL;510.00;510.00;505.41;495.00;9.00;1.80;816,717.00;412,776,767.00
2024-01-31;PFAVAL;515.00;515.00;509.88;505.00;5.00;0.98;440,852.00;224,782,723.00
2024-02-01;PFAVAL;502.00;510.00;506.39;502.00;-13.00;-2.52;256,749.00;130,015,219.00
