Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2024-01-02;PFBCOLOM;30,500.00;30,820.00;30,381.68;29,820.00;580.00;1.94;344,331.00;10,461,353,880.00
2024-01-03;PFBCOLOM;30,300.00;31,000.00;30,649.98;30,300.00;-200.00;-0.66;208,828.00;6,400,573,760.00
2024-01-04;PFBCOLOM;32,260.00;32,260.00;31,625.09;30,700.00;1,960.00;6.47;498,310.00;15,759,097,220.00
2024-01-05;PFBCOLOM;33,200.00;33,500.00;33,065.77;32,260.00;940.00;2.91;716,198.00;23,681,640,860.00
2024-01-09;PFBCOLOM;32,500.00;32,620.00;32,351.63;31,940.00;-700.00;-2.11;861,419.00;27,868,310,440.00
2024-01-10;PFBCOLOM;32,060.00;32,800.00;32,396.69;32,060.00;-440.00;-1.35;506,419.00;16,406,301,380.00
2024-01-11;PFBCOLOM;31,280.00;32,100.00;31,496.50;31,280.00;-780.00;-2.43;382,387.00;12,043,852,180.00
2024-01-12;PFBCOLOM;31,180.00;31,340.00;31,181.02;30,940.00;-100.00;-0.32;229,754.00;7,163,965,120.00
2024-01-15;PFBCOLOM;31,640.00;31,640.00;31,460.46;31,260.00;460.00;1.48;86,213.00;2,712,300,940.00
2024-01-16;PFBCOLOM;30,700.00;31,640.00;31,124.34;30,700.00;-940.00;-2.97;652,628.00;20,312,617,800.00
2024-01-17;PFBCOLOM;31,020.00;31,200.00;31,059.18;30,600.00;320.00;1.04;445,398.00;13,833,696,500.00
2024-01-18;PFBCOLOM;31,400.00;31,500.00;31,138.86;30,700.00;380.00;1.23;408,206.00;12,711,069,580.00
2024-01-19;PFBCOLOM;31,260.00;31,460.00;31,177.52;31,000.00;-140.00;-0.45;789,471.00;24,613,745,460.00
2024-01-22;PFBCOLOM;31,100.00;31,100.00;30,773.82;30,640.00;-160.00;-0.51;432,460.00;13,308,446,720.00
2024-01-23;PFBCOLOM;30,700.00;31,240.00;31,023.30;30,700.00;-400.00;-1.29;440,040.00;13,651,493,060.00
2024-01-24;PFBCOLOM;30,700.00;30,960.00;30,724.84;30,640.00;0.00;0.00;337,198.00;10,360,354,860.00
2024-01-25;PFBCOLOM;30,600.00;30,900.00;30,690.61;30,600.00;-100.00;-0.33;270,440.00;8,299,968,640.00
2024-01-26;PFBCOLOM;30,940.00;31,100.00;30,907.04;30,540.00;340.00;1.11;121,667.00;3,760,367,140.00
2024-01-29;PFBCOLOM;31,120.00;31,160.00;31,024.79;30,860.00;180.00;0.58;170,553.00;5,291,371,820.00
2024-01-30;PFBCOLOM;31,000.00;31,320.00;31,131.27;31,000.00;-120.00;-0.39;176,483.00;5,494,139,520.00
2024-01-31;PFBCOLOM;30,680.00;31,260.00;30,869.02;30,680.00;-320.00;-1.03;294,370.00;9,086,912,380.00
2024-02-01;PFBCOLOM;31,200.00;31,360.00;31,108.55;30,760.00;520.00;1.69;353,891.00;11,009,036,100.00
2024-02-02;PFBCOLOM;31,580.00;31,600.00;31,433.45;31,140.00;380.00;1.22;277,020.00;8,707,695,160.00
2024-02-05;PFBCOLOM;31,300.00;31,540.00;31,402.63;31,300.00;-280.00;-0.89;111,840.00;3,512,069,720.00
2024-02-06;PFBCOLOM;31,460.00;31,600.00;31,481.07;31,340.00;160.00;0.51;154,635.00;4,868,074,820.00
2024-02-07;PFBCOLOM;31,560.00;31,720.00;31,315.48;30,960.00;100.00;0.32;402,576.00;12,606,862,620.00
2024-02-08;PFBCOLOM;31,000.00;31,400.00;31,024.46;30,920.00;-560.00;-1.77;313,380.00;9,722,445,320.00
2024-02-09;PFBCOLOM;30,800.00;31,020.00;30,845.30;30,760.00;-200.00;-0.65;211,062.00;6,510,271,280.00
2024-02-12;PFBCOLOM;30,860.00;31,180.00;31,032.31;30,800.00;60.00;0.19;233,783.00;7,254,826,960.00
2024-02-13;PFBCOLOM;30,420.00;30,800.00;30,521.82;30,400.00;-440.00;-1.43;292,442.00;8,925,861,200.00
2024-02-14;PFBCOLOM;30,880.00;30,940.00;30,801.46;30,680.00;460.00;1.51;455,735.00;14,037,302,620.00
2024-02-15;PFBCOLOM;30,980.00;31,200.00;30,942.02;30,820.00;100.00;0.32;53,869.00;1,666,815,860.00
