Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2024-01-02;PFCORFICOL;11,360.00;11,360.00;11,335.96;11,360.00;60.00;0.53;6,875.00;77,934,740.00
2024-01-03;PFCORFICOL;11,600.00;11,600.00;11,482.99;11,320.00;240.00;2.11;10,064.00;115,564,800.00
2024-01-04;PFCORFICOL;12,200.00;12,260.00;11,999.22;11,600.00;600.00;5.17;14,397.00;172,752,760.00
2024-01-05;PFCORFICOL;12,480.00;12,480.00;12,351.39;12,200.00;280.00;2.30;21,876.00;270,199,020.00
2024-01-09;PFCORFICOL;13,200.00;13,200.00;12,887.50;12,780.00;720.00;5.77;15,574.00;200,710,000.00
2024-01-10;PFCORFICOL;13,260.00;13,700.00;13,392.21;13,260.00;60.00;0.45;17,718.00;237,283,200.00
2024-01-11;PFCORFICOL;13,300.00;13,520.00;13,334.21;13,300.00;40.00;0.30;4,068.00;54,243,580.00
2024-01-12;PFCORFICOL;13,020.00;13,140.00;13,073.21;13,000.00;-280.00;-2.11;15,500.00;202,634,760.00
2024-01-15;PFCORFICOL;13,320.00;13,320.00;13,170.63;13,100.00;300.00;2.30;16,631.00;219,040,820.00
2024-01-16;PFCORFICOL;13,400.00;13,600.00;13,519.31;13,400.00;80.00;0.60;13,926.00;188,269,920.00
2024-01-17;PFCORFICOL;13,380.00;13,380.00;13,313.38;13,280.00;-20.00;-0.15;6,880.00;91,596,040.00
2024-01-18;PFCORFICOL;13,260.00;13,260.00;13,204.33;13,180.00;-120.00;-0.90;5,662.00;74,762,900.00
2024-01-19;PFCORFICOL;13,000.00;13,240.00;13,085.81;13,000.00;-260.00;-1.96;6,558.00;85,816,720.00
2024-01-22;PFCORFICOL;13,000.00;13,000.00;12,985.88;13,000.00;0.00;;2,546.00;33,062,060.00
2024-01-23;PFCORFICOL;13,300.00;13,480.00;13,213.02;13,020.00;300.00;2.31;6,523.00;86,188,520.00
2024-01-24;PFCORFICOL;13,400.00;13,400.00;13,445.99;13,400.00;100.00;0.75;5,535.00;74,423,560.00
2024-01-25;PFCORFICOL;13,300.00;13,300.00;13,246.26;13,200.00;-100.00;-0.75;19,313.00;255,825,100.00
2024-01-26;PFCORFICOL;13,300.00;;13,360.99;;;;4,261.00;56,931,180.00
2024-01-29;PFCORFICOL;13,300.00;13,300.00;13,269.02;13,300.00;0.00;;6,168.00;81,843,320.00
2024-01-30;PFCORFICOL;13,100.00;13,300.00;13,167.91;13,080.00;-200.00;-1.50;9,849.00;129,690,780.00
2024-01-31;PFCORFICOL;13,100.00;;13,275.11;;;;900.00;11,947,600.00
2024-02-01;PFCORFICOL;13,200.00;13,200.00;13,115.13;13,100.00;100.00;0.76;6,451.00;84,605,700.00
2024-02-02;PFCORFICOL;13,100.00;13,100.00;13,110.03;13,100.00;-100.00;-0.76;1,187.00;15,561,600.00
2024-02-05;PFCORFICOL;13,100.00;;13,080.41;;;;97.00;1,268,800.00
2024-02-06;PFCORFICOL;13,000.00;13,000.00;13,004.77;12,920.00;-100.00;-0.76;5,946.00;77,326,380.00
2024-02-07;PFCORFICOL;13,000.00;;13,049.30;;;;959.00;12,514,280.00
2024-02-08;PFCORFICOL;12,900.00;12,900.00;12,944.09;12,900.00;-100.00;-0.77;6,286.00;81,366,580.00
2024-02-09;PFCORFICOL;12,900.00;;12,863.96;;;;1,206.00;15,513,940.00
2024-02-12;PFCORFICOL;12,900.00;;12,885.78;;;;90.00;1,159,720.00
2024-02-13;PFCORFICOL;12,900.00;12,900.00;12,912.47;12,900.00;0.00;;4,129.00;53,315,580.00
2024-02-14;PFCORFICOL;12,520.00;12,680.00;12,222.12;12,020.00;-380.00;-2.95;11,132.00;136,056,620.00
2024-02-15;PFCORFICOL;12,500.00;12,500.00;12,459.07;12,500.00;-20.00;-0.16;2,890.00;36,006,700.00
2024-02-16;PFCORFICOL;12,520.00;12,520.00;12,419.89;12,500.00;20.00;0.16;7,289.00;90,528,580.00
2024-02-19;PFCORFICOL;12,200.00;12,200.00;12,271.13;12,200.00;-320.00;-2.56;3,863.00;47,403,380.00
2024-02-20;PFCORFICOL;12,500.00;12,520.00;12,500.04;12,460.00;300.00;2.46;14,193.00;177,413,060.00
2024-02-21;PFCORFICOL;12,880.00;12,880.00;12,658.27;12,500.00;380.00;3.04;8,559.00;108,342,120.00
2024-02-22;PFCORFICOL;12,880.00;;12,609.59;;;;2,358.00;29,733,420.00
2024-02-23;PFCORFICOL;12,860.00;12,900.00;12,834.64;12,700.00;-20.00;-0.16;12,504.00;160,484,340.00
2024-02-26;PFCORFICOL;12,840.00;12,840.00;12,807.06;12,800.00;-20.00;-0.16;10,333.00;132,335,320.00
2024-02-27;PFCORFICOL;12,900.00;12,900.00;12,883.38;12,860.00;60.00;0.47;4,969.00;64,017,540.00
2024-02-28;PFCORFICOL;13,000.00;13,100.00;13,002.55;12,900.00;100.00;0.78;8,621.00;112,095,000.00
2024-02-29;PFCORFICOL;12,760.00;12,900.00;12,818.27;12,760.00;-240.00;-1.85;5,211.00;66,796,000.00
2024-03-01;PFCORFICOL;13,000.00;13,180.00;12,954.94;12,900.00;240.00;1.88;27,367.00;354,537,940.00
2024-03-04;PFCORFICOL;12,740.00;13,000.00;12,952.68;12,740.00;-260.00;-2.00;21,192.00;274,493,220.00
2024-03-05;PFCORFICOL;12,740.00;;13,002.48;;;;1,138.00;14,796,820.00
2024-03-06;PFCORFICOL;12,840.00;13,000.00;12,889.42;12,840.00;100.00;0.78;5,231.00;67,424,560.00
2024-03-07;PFCORFICOL;12,860.00;12,860.00;12,840.83;12,840.00;20.00;0.16;4,379.00;56,230,000.00
2024-03-08;PFCORFICOL;13,080.00;13,080.00;13,009.58;13,080.00;220.00;1.71;11,657.00;151,652,700.00
2024-03-11;PFCORFICOL;12,860.00;13,000.00;12,892.19;12,860.00;-220.00;-1.68;6,465.00;83,348,020.00
2024-03-12;PFCORFICOL;12,860.00;;12,860.00;;;;356.00;4,578,160.00
2024-03-13;PFCORFICOL;13,020.00;13,020.00;12,992.46;13,000.00;160.00;1.24;4,009.00;52,086,780.00
2024-03-14;PFCORFICOL;12,980.00;12,980.00;12,979.35;12,980.00;-40.00;-0.31;2,954.00;38,341,000.00
2024-03-15;PFCORFICOL;12,700.00;12,980.00;12,787.56;12,700.00;-280.00;-2.16;17,614.00;225,240,020.00
2024-03-18;PFCORFICOL;13,200.00;13,200.00;13,100.62;12,720.00;500.00;3.94;40,268.00;527,535,900.00
2024-03-19;PFCORFICOL;13,300.00;13,300.00;13,250.93;13,300.00;100.00;0.76;3,694.00;48,948,920.00
2024-03-20;PFCORFICOL;13,300.00;;12,926.21;;;;2,034.00;26,291,920.00
2024-03-21;PFCORFICOL;13,120.00;13,120.00;13,167.34;13,120.00;-180.00;-1.35;1,908.00;25,123,280.00
2024-03-22;PFCORFICOL;13,180.00;13,180.00;13,071.34;12,900.00;60.00;0.46;8,643.00;112,975,580.00
2024-03-26;PFCORFICOL;13,260.00;13,260.00;13,212.17;13,200.00;80.00;0.61;19,168.00;253,250,820.00
2024-03-27;PFCORFICOL;13,260.00;;13,300.29;;;;2,381.00;31,667,980.00
2024-04-01;PFCORFICOL;13,600.00;13,600.00;13,532.89;13,400.00;340.00;2.56;12,536.00;169,648,320.00
