Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2024-01-02;PROMIGAS;4,600.00;;4,569.40;;;;5,308.00;24,254,380.00
2024-01-03;PROMIGAS;4,620.00;4,620.00;4,617.39;4,600.00;20.00;0.43;38,650.00;178,462,020.00
2024-01-04;PROMIGAS;4,755.00;4,755.00;4,743.74;4,700.00;135.00;2.92;63,093.00;299,296,730.00
2024-01-05;PROMIGAS;4,840.00;4,900.00;4,841.54;4,790.00;85.00;1.79;79,454.00;384,679,895.00
2024-01-09;PROMIGAS;4,840.00;4,840.00;4,827.68;4,790.00;0.00;0.00;27,991.00;135,131,550.00
2024-01-10;PROMIGAS;4,975.00;4,975.00;4,960.57;4,905.00;135.00;2.79;29,319.00;145,438,955.00
2024-01-11;PROMIGAS;5,010.00;5,010.00;4,989.74;5,010.00;35.00;0.70;6,366.00;31,764,655.00
2024-01-12;PROMIGAS;5,010.00;;5,062.17;;;;3,766.00;19,064,120.00
2024-01-15;PROMIGAS;5,020.00;5,020.00;5,010.81;5,020.00;10.00;0.20;10,776.00;53,996,540.00
2024-01-16;PROMIGAS;5,160.00;5,160.00;5,137.04;5,100.00;140.00;2.79;27,342.00;140,456,880.00
2024-01-17;PROMIGAS;5,300.00;5,300.00;5,170.93;5,020.00;140.00;2.71;285,953.00;1,478,643,830.00
2024-01-18;PROMIGAS;5,350.00;5,350.00;5,309.92;5,350.00;50.00;0.94;6,661.00;35,369,360.00
2024-01-19;PROMIGAS;5,050.00;5,110.00;5,080.40;5,050.00;-300.00;-5.61;14,493.00;73,630,220.00
2024-01-22;PROMIGAS;5,310.00;5,310.00;5,238.66;5,310.00;260.00;5.15;5,371.00;28,136,820.00
2024-01-23;PROMIGAS;5,270.00;5,270.00;5,187.70;5,110.00;-40.00;-0.75;23,182.00;120,261,240.00
2024-01-24;PROMIGAS;5,290.00;5,290.00;5,200.92;5,290.00;20.00;0.38;9,407.00;48,925,090.00
