Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
PEI;80740;6,24;31679002240;394357;4740;76440;81000;76440;80330,77;PEI;EQTY
PFBCOLOM;33900;0,89;23476172640;690576;300;33800;34140;33760;33995,06;BANCO BANCOLOMBIA;EQTY
ECOPETROL;2405;0,84;19477211675;8104328;20;2390;2420;2390;2403,31;ECOPETROL;EQTY
BCOLOMBIA;35000;-0,23;6824229420;194117;-80;35100;35500;35000;35155,24;BANCO BANCOLOMBIA;EQTY
ISA;17700;-1,67;4439377240;248231;-300;18080;18140;17700;17884,06;ISA INTERCONEXION ELECTRICA;EQTY
ICOLCAP;13780;-0,29;2837877571;205239;-40;13820;13828;13780;13827,18;FONDO BURSATIL ISHARES COLCAP;EQTY
HCOLSEL;14722;0,33;2800486688;190226;49;14720;14722;14720;14721,89;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
CEMARGOS;8160;0,62;2387356110;292512;50;8100;8200;8100;8161,57;CEMENTOS ARGOS;EQTY
GRUPOARGOS;16560;0,98;1175918860;71505;160;16380;16560;16380;16445,27;GRUPO ARGOS;EQTY
GEB;2530;-;711711210;281530;-;2530;2530;2520;2528,01;GRUPO ENERGIA BOGOTA;EQTY
PFAVAL;443;0,68;672088923;1526187;3;443;443;437;440,37;GRUPO AVAL ACCIONES Y VALORES;EQTY
PFGRUPSURA;24660;-0,56;651162000;26169;-140;24820;25100;24660;24882,95;GRUPO SURA;EQTY
CELSIA;4050;-0,49;644563000;157841;-20;4080;4100;4050;4083,62;CELSIA;EQTY
BOGOTA;27500;-1,08;512105660;18621;-300;27500;27680;27480;27501,51;BANCO DE BOGOTA;EQTY
CORFICOLCF;14780;1,23;468872180;32063;180;14500;14780;14500;14623,47;CORFICOLOMBIANA;EQTY
GRUPOSURA;35900;-0,28;404273060;11366;-100;35620;35900;35100;35568,63;GRUPO SURA;EQTY
PFCORFICOL;13900;0,14;275310780;20066;20;13700;13900;13600;13720,26;CORFICOLOMBIANA;EQTY
CNEC;12340;1,15;267027300;21550;140;12400;12400;12340;12391,06;CANACOL ENERGY LTD;EQTY
TERPEL;9130;-0,22;225978550;24724;-20;9150;9150;9130;9140,05;ORGANIZACION TERPEL;EQTY
NUTRESA;55340;-7,61;222204520;3961;-4560;58000;58000;55340;56098,09;GRUPO NUTRESA;EQTY
PROMIGAS;7120;-;201288900;28271;-;7120;7120;7120;7119,98;PROMIGAS;EQTY
PFDAVVNDA;20160;1,41;176132620;8715;280;20500;20500;20160;20210,28;BANCO DAVIVIENDA;EQTY
PFGRUPOARG;11820;-0,51;162107400;13701;-60;11940;11940;11740;11831,79;GRUPO ARGOS;EQTY
EXITO;2240;0,9;152767080;68758;20;2190;2240;2190;2221,81;EXITO;EQTY
GRUBOLIVAR;61620;-1,6;150944160;2435;-1000;62100;62300;61600;61989,39;GRUPO BOLIVAR;EQTY
BHI;284;1,43;110549420;390803;4;281;284;281;282,88;BAC HOLDING INTERNATIONAL CORP;EQTY
BVC;10500;-0,57;75520320;7248;-60;10340;10500;10340;10419,47;BOLSA DE VALORES DE COLOMBIA;EQTY
CONCONCRET;309;0,65;70230573;228357;2;310;310;305;307,55;CONCONCRETO S.A;EQTY
MINEROS;3185;-0,47;67395915;21126;-15;3185;3185;3185;3190,19;MINEROS;EQTY
ENKA;-;-;14810105,5;892395;-;-;-;-;16,6;ENKA DE COLOMBIA;EQTY
GRUPOAVAL;-;-;7008698;15822;-;-;-;-;442,97;GRUPO AVAL ACCIONES Y VALORES;EQTY
GXTESCOL;-;-;2664240;54;-;-;-;-;49337,78;FONDO BURSATIL GLOBAL X TES COLOMBIA COP GBI-EM ID ETF;EQTY
ETB;-;-;2099340;23326;-;-;-;-;90;ETB;EQTY
PFCEMARGOS;-;-;818550;116;-;-;-;-;7056,47;CEMENTOS ARGOS;EQTY
