Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor;Equity
PFBCOLOM;42320;-2,17;30029020800;703504;-940;43260;43260;42120;42684,93;BANCO BANCOLOMBIA;EQTY
ECOPETROL;2025;-1,7;12886201740;6324735;-35;2040;2060;2015;2037,43;ECOPETROL;EQTY
PFGRUPSURA;37000;-4,93;8152453100;213434;-1920;38800;38800;37000;38196,6;GRUPO SURA;EQTY
BCOLOMBIA;46300;-1,49;5214225080;112119;-700;47000;47000;46000;46506,17;BANCO BANCOLOMBIA;EQTY
ISA;18800;-1,05;4806716880;255480;-200;19000;19000;18600;18814,45;ISA INTERCONEXION ELECTRICA;EQTY
ICOLCAP;15815;-0,97;3716449824,5;234871;-155,5;15874;15874;15815;15823,37;FONDO BURSATIL ISHARES COLCAP;EQTY
GRUPOARGOS;20140;-3,17;3555415040;173179;-660;20800;20800;20140;20530,29;GRUPO ARGOS;EQTY
CEMARGOS;9500;-3,55;3455042290;359025;-350;9820;9820;9500;9623,4;CEMENTOS ARGOS;EQTY
PEI;74920;4,11;2906719400;39395;2960;72000;75540;72000;73783,97;PEI;EQTY
CORFICOLCF;17320;-3,24;2341290100;134141;-580;17420;17740;17220;17453,95;CORFICOLOMBIANA;EQTY
PFDAVVNDA;20400;-0,87;2248450560;110460;-180;20240;20480;20220;20355,34;BANCO DAVIVIENDA;EQTY
GRUPOSURA;40240;-1,85;1743193900;42915;-760;40700;40800;40240;40619,69;GRUPO SURA;EQTY
GEB;2810;-1,4;1455595025;517308;-40;2785;2825;2760;2813,79;GRUPO ENERGIA BOGOTA;EQTY
BOGOTA;30800;-0,19;1285440620;41477;-60;30840;31500;30500;30991,65;BANCO DE BOGOTA;EQTY
MINEROS;5250;-0,94;966114990;183170;-50;5280;5300;5250;5274,42;MINEROS;EQTY
CELSIA;3735;-0,66;954662990;254229;-25;3760;3770;3730;3755,13;CELSIA;EQTY
PFGRUPOARG;15540;-1,65;817102640;52524;-260;15540;15600;15520;15556,75;GRUPO ARGOS;EQTY
PFAVAL;602;-0,66;779814829;1286893;-4;600;622;600;605,97;GRUPO AVAL ACCIONES Y VALORES;EQTY
HCOLSEL;17104,5;-0,81;694782827,5;40626;-139,5;17104,5;17104,5;17104,5;17101,93;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
GRUBOLIVAR;75920;2,59;583336680;7818;1920;73480;76000;73000;74614,57;GRUPO BOLIVAR;EQTY
TERPEL;12600;-0,16;407690040;32291;-20;12780;12780;12580;12625,5;ORGANIZACION TERPEL;EQTY
CONCONCRET;500;-1,96;354813616;704248;-10;512;512;500;503,82;CONCONCRETO S.A;EQTY
PROMIGAS;7000;-1,13;324481150;46386;-80;7000;7000;7000;6995,24;PROMIGAS;EQTY
BHI;313;0,64;235232867;754589;2;311;313;311;311,74;BAC HOLDING INTERNATIONAL CORP;EQTY
NUTRESA;118000;0,85;185401160;1576;1000;113360;118000;113360;117640,33;GRUPO NUTRESA;EQTY
GXTESCOL;52040;0,66;158484640;3045;340;52060;52060;52040;52047,5;FONDO BURSATIL GLOBAL X TES COLOMBIA COP GBI-EM ID ETF;EQTY
PFCORFICOL;17020;-2,74;137055080;8035;-480;17200;17360;16880;17057,26;CORFICOLOMBIANA;EQTY
CNEC;10920;-2,5;135589120;12374;-280;11000;11100;10900;10957,58;CANACOL ENERGY LTD;EQTY
EXITO;1860;-1,33;121092580;64617;-25;1870;1890;1860;1874;EXITO;EQTY
BVC;12460;-1,27;81680700;6487;-160;12680;12860;12460;12591,44;BOLSA DE VALORES DE COLOMBIA;EQTY
GRUPOAVAL;596;-;50758657;84698;-;596;596;596;599,29;GRUPO AVAL ACCIONES Y VALORES;EQTY
ETB;52;-;44226416;850508;-;52;52;52;52;ETB;EQTY
ENKA;16,3;1,88;29962487,5;1835554;0,3;16,3;16,3;16,3;16,32;ENKA DE COLOMBIA;EQTY
PFCEMARGOS;-;-;16414950;1666;-;-;-;-;9852,91;CEMENTOS ARGOS;EQTY
OCCIDENTE;-;-;14250000;750;-;-;-;-;19000;BANCO DE OCCIDENTE;EQTY
FABRICATO;-;-;5720000;2000000;-;-;-;-;2,86;FABRICATO;EQTY
VILLAS;-;-;1120000;500;-;-;-;-;2240;BANCO AV VILLAS;EQTY
