Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
PFGRUPSURA;37340;-0,37;33585599080;900195;-140;37320;37480;36920;37309,25;GRUPO SURA
PFBCOLOM;44540;-0,71;32614851480;729752;-320;44900;45000;44360;44693,06;BANCO BANCOLOMBIA
ECOPETROL;2110;-0,47;25339888895;12011148;-10;2120;2130;2095;2109,7;ECOPETROL
GRUPOSURA;39220;-2,1;21146205120;541802;-840;40000;40000;39000;39029,4;GRUPO SURA
BCOLOMBIA;48380;-0,04;11225168960;233121;-20;48600;48760;47840;48151,69;BANCO BANCOLOMBIA
ICOLCAP;16073;-1,77;11006724359;683671;-289,5;16187,5;16187,5;16073;16099,45;FONDO BURSATIL ISHARES COLCAP
CEMARGOS;10080;-0,59;5821943790;583194;-60;10080;10080;9950;9982,86;CEMENTOS ARGOS
GRUPOARGOS;20160;-0,2;3733457900;185205;-40;20240;20240;20000;20158,52;GRUPO ARGOS
PFAVAL;580;-1,86;2533804033;4334884;-11;591;591;580;584,51;GRUPO AVAL ACCIONES Y VALORES
PFGRUPOARG;15120;-1,18;1833879800;120496;-180;15280;15380;15120;15219,42;GRUPO ARGOS
ISA;19380;-0,62;1812747680;93547;-120;19500;19500;19260;19377,93;ISA INTERCONEXION ELECTRICA
MINEROS;5500;-;1593611050;288955;-;5500;5600;5500;5515,08;MINEROS
GEB;2880;-2,04;1491004025;516307;-60;2865;2925;2865;2887,82;GRUPO ENERGIA BOGOTA
PEI;69740;-0,37;943072520;13605;-260;69520;69740;68320;69318,08;PEI
BOGOTA;30400;0,33;639503760;21124;100;30760;30780;30000;30273,8;BANCO DE BOGOTA
CELSIA;3885;-0,13;626478855;162003;-5;3890;3890;3830;3867,08;CELSIA
CORFICOLCF;17200;-0,23;596086220;34866;-40;17240;17240;16720;17096,49;CORFICOLOMBIANA
CONCONCRET;485;-2,02;578795968;1192844;-10;490;493;480;485,22;CONCONCRETO S.A
HCOLSEL;17278;-0,05;558844584;32344;-9,5;17278;17278;17278;17278,15;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P
PFDAVVNDA;20300;-1,93;470256840;22948;-400;20860;20860;20300;20492,28;BANCO DAVIVIENDA
CNEC;11740;2,44;435966100;37156;280;11460;11920;11460;11733,4;CANACOL ENERGY LTD
PROMIGAS;6900;-0,14;388633270;56172;-10;6920;7160;6900;6918,63;PROMIGAS
TERPEL;12500;-0,79;314128480;25051;-100;12580;12580;12500;12539,56;ORGANIZACION TERPEL
PFCORFICOL;17240;-;243648900;14198;-;17200;17260;17020;17160,79;CORFICOLOMBIANA
EXITO;1855;-1,59;129979605;69582;-30;1860;1860;1855;1868,01;EXITO
BHI;311;-0,32;124900407;401575;-1;311;312;310;311,03;BAC HOLDING INTERNATIONAL CORP
NUTRESA;122600;-1,92;124179760;1018;-2400;122000;122600;122000;121984,05;GRUPO NUTRESA
GRUBOLIVAR;74120;-0,11;107558420;1450;-80;74100;74120;74100;74178,22;GRUPO BOLIVAR
BVC;12580;-0,16;106580760;8448;-20;12620;12660;12580;12616,09;BOLSA DE VALORES DE COLOMBIA
ENKA;-;-;18421263,7;1040327;-;-;-;-;17,71;ENKA DE COLOMBIA
ETB;-;-;16300024;313242;-;-;-;-;52,04;ETB
PFCEMARGOS;-;-;12232990;1234;-;-;-;-;9913,28;CEMENTOS ARGOS
GRUPOAVAL;-;-;4411021;7369;-;-;-;-;598,59;GRUPO AVAL ACCIONES Y VALORES
GXTESCOL;-;-;2063350;40;-;-;-;-;51583,75;FONDO BURSATIL GLOBAL X TES COLOMBIA COP GBI-EM ID ETF
