Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
PFBCOLOM;44460,0;-0,18;36105375020;812343;-80,0;44540,0;44640,0;44160,0;44445,97;BANCO BANCOLOMBIA
BCOLOMBIA;47100,0;-2,65;18921220600;394969;-1280,0;48180,0;48180,0;47100,0;47905,58;BANCO BANCOLOMBIA
ECOPETROL;2130,0;0,95;13808418905;6555059;20,0;2100,0;2130,0;2080,0;2106,53;ECOPETROL
PFGRUPSURA;37500,0;0,43;6268558020;168157;160,0;37280,0;37500,0;37000,0;37278,01;GRUPO SURA
GRUPOARGOS;20020,0;-0,69;3710109720;184086;-140,0;20200,0;20400,0;20000,0;20154,22;GRUPO ARGOS
MINEROS;5180,0;-5,82;3314754490;637696;-320,0;5400,0;5400,0;5000,0;5198,02;MINEROS
CEMARGOS;10200,0;1,19;3308295140;325521;120,0;10020,0;10200,0;9980,0;10163,08;CEMENTOS ARGOS
ISA;18900,0;-2,48;2205852180;115536;-480,0;19380,0;19380,0;18900,0;19092,34;ISA INTERCONEXION ELECTRICA
GEB;2900,0;0,69;1433720400;494870;20,0;2885,0;2905,0;2885,0;2897,17;GRUPO ENERGIA BOGOTA
GRUPOSURA;39540,0;0,82;1327437980;33767;320,0;39220,0;39600,0;39000,0;39311,69;GRUPO SURA
PFAVAL;574,0;-1,03;956328239;1654534;-6,0;590,0;590,0;574,0;578,0;GRUPO AVAL ACCIONES Y VALORES
CNEC;12400,0;5,62;736383480;59720;660,0;11820,0;12460,0;11820,0;12330,6;CANACOL ENERGY LTD
CELSIA;3880,0;-0,13;696876700;179741;-5,0;3840,0;3890,0;3840,0;3877,12;CELSIA
PFGRUPOARG;15140,0;0,13;657837100;43450;20,0;15100,0;15180,0;15100,0;15140,09;GRUPO ARGOS
PFDAVVNDA;20640,0;1,67;391967700;19164;340,0;20400,0;20640,0;20360,0;20453,33;BANCO DAVIVIENDA
BOGOTA;30400,0;0,0;344948940;11477;0,0;30060,0;30400,0;30000,0;30055,67;BANCO DE BOGOTA
CONCONCRET;502,0;3,51;343158780;695584;17,0;485,0;509,0;485,0;493,34;CONCONCRETO S.A
PEI;69500,0;-0,34;322879000;4658;-240,0;69740,0;69740,0;69120,0;69317,09;PEI
CORFICOLCF;17200,0;0,0;274061440;16032;0,0;17000,0;17200,0;16980,0;17094,65;CORFICOLOMBIANA
NUTRESA;122200,0;-0,33;270261020;2288;-400,0;119620,0;122200,0;116100,0;118121,08;GRUPO NUTRESA
TERPEL;12500,0;0,0;205780060;16366;0,0;12600,0;12600,0;12500,0;12573,63;ORGANIZACION TERPEL
GRUBOLIVAR;74680,0;0,76;156238340;2111;560,0;74000,0;74680,0;73440,0;74011,53;GRUPO BOLIVAR
PFCORFICOL;17240,0;-;100000340;5808;0,0;17240,0;17240,0;17240,0;17217,69;CORFICOLOMBIANA
PROMIGAS;6860,0;-0,58;42154130;6118;-40,0;6860,0;6860,0;6860,0;6890,18;PROMIGAS
GRUPOAVAL;-;-;35634850;60188;-;-;-;-;592,06;GRUPO AVAL ACCIONES Y VALORES
BVC;12600,0;0,16;26951320;2139;20,0;12600,0;12600,0;12600,0;12599,96;BOLSA DE VALORES DE COLOMBIA
ENKA;17,4;-0,57;22360757,8;1283538;-0,1;17,4;17,4;17,4;17,42;ENKA DE COLOMBIA
BHI;311,0;-;19840292;63595;0,0;311,0;311,0;311,0;311,98;BAC HOLDING INTERNATIONAL CORP
ICOLCAP;-;-;14311041;889;-;-;-;-;16097,91;FONDO BURSATIL ISHARES COLCAP
EXITO;-;-;9893715;5275;-;-;-;-;1875,59;EXITO
PFCEMARGOS;-;-;8535350;841;-;-;-;-;10149,05;CEMENTOS ARGOS
FABRICATO;-;-;2210000;1000000;-;-;-;-;2,21;FABRICATO
HCOLSEL;-;-;890023;52;-;-;-;-;17115,83;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P
ETB;-;-;756756;14911;-;-;-;-;50,75;ETB
GXTESCOL;-;-;255950;5;-;-;-;-;51190,0;FONDO BURSATIL GLOBAL X TES COLOMBIA COP GBI-EM ID ETF
