Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2024-01-02;CELSIA;3,045.00;3,045.00;3,001.14;2,980.00;85.00;2.87;199,932.00;600,024,540.00
2024-01-03;CELSIA;3,100.00;3,140.00;3,087.37;3,025.00;55.00;1.81;550,471.00;1,699,507,885.00
2024-01-04;CELSIA;3,155.00;3,185.00;3,152.92;3,120.00;55.00;1.77;473,049.00;1,491,486,495.00
2024-01-05;CELSIA;3,140.00;3,190.00;3,170.11;3,140.00;-15.00;-0.48;859,356.00;2,724,257,060.00
2024-01-09;CELSIA;3,150.00;3,160.00;3,133.29;3,070.00;10.00;0.32;934,033.00;2,926,599,610.00
2024-01-10;CELSIA;3,150.00;3,180.00;3,161.01;3,130.00;0.00;0.00;275,877.00;872,048,710.00
2024-01-11;CELSIA;3,135.00;3,140.00;3,117.77;3,100.00;-15.00;-0.48;822,312.00;2,563,778,750.00
2024-01-12;CELSIA;3,140.00;3,140.00;3,124.29;3,075.00;5.00;0.16;315,311.00;985,121,895.00
2024-01-15;CELSIA;3,160.00;3,170.00;3,140.20;3,130.00;20.00;0.64;232,454.00;729,951,885.00
2024-01-16;CELSIA;3,245.00;3,245.00;3,197.95;3,155.00;85.00;2.69;279,868.00;895,002,925.00
2024-01-17;CELSIA;3,260.00;3,350.00;3,291.25;3,245.00;15.00;0.46;1,120,495.00;3,687,827,155.00
2024-01-18;CELSIA;3,300.00;3,320.00;3,285.68;3,260.00;40.00;1.23;332,514.00;1,092,532,980.00
2024-01-19;CELSIA;3,230.00;3,270.00;3,230.19;3,200.00;-70.00;-2.12;328,089.00;1,059,788,840.00
2024-01-22;CELSIA;3,305.00;3,310.00;3,267.50;3,155.00;75.00;2.32;234,581.00;766,493,365.00
2024-01-23;CELSIA;3,320.00;3,320.00;3,309.24;3,290.00;15.00;0.45;268,563.00;888,739,100.00
2024-01-24;CELSIA;3,275.00;3,320.00;3,306.13;3,275.00;-45.00;-1.36;125,307.00;414,281,545.00
2024-01-25;CELSIA;3,300.00;3,315.00;3,293.79;3,265.00;25.00;0.76;250,859.00;826,277,510.00
2024-01-26;CELSIA;3,345.00;3,350.00;3,326.49;3,300.00;45.00;1.36;322,639.00;1,073,255,355.00
2024-01-29;CELSIA;3,290.00;3,390.00;3,334.81;3,290.00;-55.00;-1.64;385,906.00;1,286,923,315.00
2024-01-30;CELSIA;3,330.00;3,330.00;3,290.42;3,260.00;40.00;1.22;195,598.00;643,600,105.00
2024-01-31;CELSIA;3,315.00;3,335.00;3,320.10;3,310.00;-15.00;-0.45;139,997.00;464,804,335.00
2024-02-01;CELSIA;3,190.00;3,370.00;3,240.55;3,165.00;-125.00;-3.77;416,908.00;1,351,013,145.00
2024-02-02;CELSIA;3,210.00;3,230.00;3,217.32;3,210.00;20.00;0.63;270,846.00;871,397,420.00
2024-02-05;CELSIA;3,205.00;3,220.00;3,206.83;3,175.00;-5.00;-0.16;98,182.00;314,853,095.00
2024-02-06;CELSIA;3,205.00;3,205.00;3,158.72;3,135.00;0.00;0.00;204,555.00;646,131,345.00
2024-02-07;CELSIA;3,250.00;3,260.00;3,246.37;3,210.00;45.00;1.40;338,277.00;1,098,172,835.00
2024-02-08;CELSIA;3,250.00;3,250.00;3,245.01;3,230.00;0.00;0.00;91,690.00;297,535,115.00
2024-02-09;CELSIA;3,240.00;3,250.00;3,218.50;3,170.00;-10.00;-0.31;104,881.00;337,559,150.00
2024-02-12;CELSIA;3,160.00;3,200.00;3,174.02;3,160.00;-80.00;-2.47;50,189.00;159,300,640.00
2024-02-13;CELSIA;3,090.00;3,140.00;3,100.38;3,090.00;-70.00;-2.22;274,859.00;852,168,185.00
2024-02-14;CELSIA;3,085.00;3,085.00;3,084.84;3,075.00;-5.00;-0.16;35,646.00;109,962,075.00
2024-02-15;CELSIA;3,135.00;3,190.00;3,148.98;3,100.00;50.00;1.62;191,438.00;602,834,210.00
2024-02-16;CELSIA;3,200.00;3,240.00;3,201.24;3,190.00;65.00;2.07;368,191.00;1,178,667,690.00
2024-02-19;CELSIA;3,200.00;3,200.00;3,190.21;3,150.00;0.00;0.00;89,312.00;284,923,955.00
2024-02-20;CELSIA;3,360.00;3,370.00;3,321.82;3,200.00;160.00;5.00;914,519.00;3,037,867,295.00
2024-02-21;CELSIA;3,450.00;3,480.00;3,415.48;3,310.00;90.00;2.68;460,876.00;1,574,112,130.00
2024-02-22;CELSIA;3,470.00;3,500.00;3,480.44;3,400.00;20.00;0.58;503,339.00;1,751,839,905.00
2024-02-23;CELSIA;3,605.00;3,620.00;3,554.27;3,415.00;135.00;3.89;605,710.00;2,152,856,590.00
2024-02-26;CELSIA;3,830.00;3,830.00;3,664.49;3,570.00;225.00;6.24;1,125,804.00;4,125,497,495.00
2024-02-27;CELSIA;3,680.00;3,830.00;3,729.72;3,680.00;-150.00;-3.92;595,622.00;2,221,506,240.00
2024-02-28;CELSIA;3,620.00;3,730.00;3,684.20;3,605.00;-60.00;-1.63;759,255.00;2,797,248,340.00
2024-02-29;CELSIA;3,750.00;3,750.00;3,745.55;3,615.00;130.00;3.59;4,398,918.00;16,476,365,910.00
2024-03-01;CELSIA;3,730.00;3,775.00;3,733.81;3,615.00;-20.00;-0.53;1,395,947.00;5,212,205,845.00
2024-03-04;CELSIA;3,820.00;3,830.00;3,796.30;3,655.00;90.00;2.41;515,293.00;1,956,206,280.00
2024-03-05;CELSIA;3,850.00;3,890.00;3,849.37;3,770.00;30.00;0.79;327,091.00;1,259,094,715.00
2024-03-06;CELSIA;3,865.00;3,900.00;3,871.24;3,840.00;15.00;0.39;401,568.00;1,554,567,125.00
2024-03-07;CELSIA;3,900.00;3,900.00;3,879.27;3,865.00;35.00;0.91;217,631.00;844,249,060.00
2024-03-08;CELSIA;3,925.00;3,945.00;3,914.34;3,900.00;25.00;0.64;221,878.00;868,505,475.00
2024-03-11;CELSIA;3,900.00;3,915.00;3,904.46;3,875.00;-25.00;-0.64;153,741.00;600,275,345.00
2024-03-12;CELSIA;3,900.00;3,940.00;3,898.16;3,865.00;0.00;0.00;191,639.00;747,038,650.00
2024-03-13;CELSIA;3,880.00;3,890.00;3,888.56;3,880.00;-20.00;-0.51;122,083.00;474,726,800.00
2024-03-14;CELSIA;3,835.00;3,880.00;3,865.05;3,835.00;-45.00;-1.16;165,578.00;639,968,055.00
2024-03-15;CELSIA;3,500.00;3,870.00;3,543.48;3,500.00;-335.00;-8.74;3,558,941.00;12,611,020,790.00
2024-03-18;CELSIA;3,720.00;3,845.00;3,727.03;3,700.00;220.00;6.29;563,291.00;2,099,403,345.00
2024-03-19;CELSIA;3,820.00;3,820.00;3,755.81;3,725.00;100.00;2.69;745,085.00;2,798,396,250.00
2024-03-20;CELSIA;3,810.00;3,890.00;3,834.13;3,800.00;-10.00;-0.26;275,103.00;1,054,780,635.00
2024-03-21;CELSIA;3,880.00;3,885.00;3,849.79;3,800.00;70.00;1.84;251,036.00;966,437,025.00
2024-03-22;CELSIA;3,915.00;3,915.00;3,890.71;3,875.00;35.00;0.90;236,674.00;920,830,965.00
2024-03-26;CELSIA;3,860.00;3,955.00;3,919.14;3,860.00;-55.00;-1.40;350,392.00;1,373,236,485.00
2024-03-27;CELSIA;3,935.00;3,980.00;3,962.29;3,900.00;75.00;1.94;348,771.00;1,381,931,985.00
2024-04-01;CELSIA;3,950.00;3,975.00;3,939.17;3,900.00;15.00;0.38;275,013.00;1,083,321,705.00
2024-04-02;CELSIA;4,000.00;4,040.00;3,993.13;3,950.00;50.00;1.27;1,668,049.00;6,660,740,255.00
2024-04-03;CELSIA;4,050.00;4,055.00;4,038.87;4,010.00;50.00;1.25;564,491.00;2,279,908,485.00
2024-04-04;CELSIA;4,150.00;4,160.00;4,135.48;4,050.00;100.00;2.47;852,961.00;3,527,405,660.00
2024-04-05;CELSIA;4,205.00;4,260.00;4,199.89;4,145.00;55.00;1.33;375,421.00;1,576,728,480.00
2024-04-08;CELSIA;4,200.00;4,230.00;4,198.84;4,125.00;-5.00;-0.12;247,282.00;1,038,296,910.00
2024-04-09;CELSIA;4,290.00;4,315.00;4,274.68;4,200.00;90.00;2.14;846,842.00;3,619,974,485.00
2024-04-10;CELSIA;4,250.00;4,340.00;4,303.30;4,140.00;-40.00;-0.93;518,003.00;2,229,121,725.00
2024-04-11;CELSIA;4,300.00;4,300.00;4,261.62;4,220.00;50.00;1.18;2,164,093.00;9,222,540,450.00
2024-04-12;CELSIA;4,280.00;4,300.00;4,289.38;4,280.00;-20.00;-0.47;225,625.00;967,791,560.00
2024-04-15;CELSIA;4,240.00;4,280.00;4,256.39;4,230.00;-40.00;-0.93;540,385.00;2,300,090,460.00
2024-04-16;CELSIA;4,160.00;4,240.00;4,159.15;3,860.00;-80.00;-1.89;546,834.00;2,274,364,485.00
2024-04-17;CELSIA;4,050.00;4,160.00;4,100.50;4,050.00;-110.00;-2.64;393,891.00;1,615,151,305.00
2024-04-18;CELSIA;3,995.00;4,050.00;3,993.59;3,965.00;-55.00;-1.36;335,689.00;1,340,605,370.00
