Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2024-01-02;ECOPETROL;2,355.00;2,370.00;2,349.09;2,335.00;15.00;0.64;740,229.00;1,738,865,910.00
2024-01-03;ECOPETROL;2,420.00;2,420.00;2,396.19;2,360.00;65.00;2.76;2,824,764.00;6,768,678,375.00
2024-01-04;ECOPETROL;2,405.00;2,450.00;2,442.60;2,405.00;-15.00;-0.62;7,680,764.00;18,761,021,455.00
2024-01-05;ECOPETROL;2,445.00;2,450.00;2,439.51;2,420.00;40.00;1.66;2,593,112.00;6,325,921,645.00
2024-01-09;ECOPETROL;2,395.00;2,425.00;2,396.48;2,385.00;-50.00;-2.04;6,205,275.00;14,870,832,085.00
2024-01-10;ECOPETROL;2,345.00;2,390.00;2,359.93;2,345.00;-50.00;-2.09;3,053,737.00;7,206,616,025.00
2024-01-11;ECOPETROL;2,355.00;2,375.00;2,360.44;2,350.00;10.00;0.43;1,809,844.00;4,272,032,470.00
2024-01-12;ECOPETROL;2,375.00;2,390.00;2,378.87;2,360.00;20.00;0.85;2,884,748.00;6,862,428,800.00
2024-01-15;ECOPETROL;2,375.00;2,375.00;2,365.57;2,360.00;0.00;0.00;427,263.00;1,010,720,715.00
2024-01-16;ECOPETROL;2,335.00;2,370.00;2,340.78;2,320.00;-40.00;-1.68;4,253,709.00;9,957,016,335.00
2024-01-17;ECOPETROL;2,315.00;2,325.00;2,314.32;2,305.00;-20.00;-0.86;5,092,743.00;11,786,248,575.00
2024-01-18;ECOPETROL;2,300.00;2,320.00;2,301.68;2,290.00;-15.00;-0.65;4,888,401.00;11,251,559,085.00
2024-01-19;ECOPETROL;2,280.00;2,295.00;2,269.16;2,250.00;-20.00;-0.87;4,223,169.00;9,583,044,585.00
2024-01-22;ECOPETROL;2,265.00;2,280.00;2,262.83;2,250.00;-15.00;-0.66;3,094,068.00;7,001,354,565.00
2024-01-23;ECOPETROL;2,295.00;2,300.00;2,288.97;2,255.00;30.00;1.32;4,438,261.00;10,159,041,490.00
2024-01-24;ECOPETROL;2,290.00;2,310.00;2,300.72;2,280.00;-5.00;-0.22;4,840,887.00;11,137,518,815.00
2024-01-25;ECOPETROL;2,355.00;2,355.00;2,330.83;2,300.00;65.00;2.84;8,059,422.00;18,785,138,390.00
2024-01-26;ECOPETROL;2,400.00;2,400.00;2,376.43;2,350.00;45.00;1.91;5,063,796.00;12,033,779,480.00
2024-01-29;ECOPETROL;2,395.00;2,400.00;2,385.24;2,345.00;-5.00;-0.21;3,334,508.00;7,953,589,470.00
2024-01-30;ECOPETROL;2,390.00;2,400.00;2,387.40;2,375.00;-5.00;-0.21;2,041,122.00;4,872,980,045.00
2024-01-31;ECOPETROL;2,335.00;2,395.00;2,367.41;2,335.00;-55.00;-2.30;5,674,933.00;13,434,893,995.00
2024-02-01;ECOPETROL;2,345.00;2,400.00;2,361.08;2,325.00;10.00;0.43;2,856,567.00;6,744,593,870.00
2024-02-02;ECOPETROL;2,320.00;2,340.00;2,326.31;2,320.00;-25.00;-1.07;1,329,585.00;3,093,020,940.00
2024-02-05;ECOPETROL;2,320.00;2,335.00;2,317.65;2,305.00;0.00;0.00;1,307,406.00;3,030,113,465.00
2024-02-06;ECOPETROL;2,355.00;2,360.00;2,347.96;2,315.00;35.00;1.51;1,728,880.00;4,059,332,470.00
2024-02-07;ECOPETROL;2,365.00;2,365.00;2,355.78;2,340.00;10.00;0.42;1,985,107.00;4,676,477,635.00
