Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2024-01-02;GEB;1,970.00;1,970.00;1,958.88;1,930.00;70.00;3.68;94,112.00;184,353,810.00
2024-01-03;GEB;2,005.00;2,005.00;1,991.53;1,975.00;35.00;1.78;348,714.00;694,475,710.00
2024-01-04;GEB;2,130.00;2,130.00;2,095.11;2,030.00;125.00;6.23;366,735.00;768,349,425.00
2024-01-05;GEB;2,220.00;2,240.00;2,214.98;2,150.00;90.00;4.23;1,126,284.00;2,494,698,865.00
2024-01-09;GEB;2,270.00;2,290.00;2,260.14;2,200.00;50.00;2.25;1,011,299.00;2,285,675,835.00
2024-01-10;GEB;2,290.00;2,300.00;2,292.85;2,250.00;20.00;0.88;1,211,026.00;2,776,706,340.00
2024-01-11;GEB;2,290.00;2,300.00;2,288.94;2,260.00;0.00;0.00;453,185.00;1,037,311,480.00
2024-01-12;GEB;2,310.00;2,320.00;2,292.90;2,240.00;20.00;0.87;2,467,241.00;5,657,136,050.00
2024-01-15;GEB;2,305.00;2,310.00;2,307.51;2,305.00;-5.00;-0.22;38,021.00;87,733,785.00
2024-01-16;GEB;2,290.00;2,300.00;2,295.02;2,285.00;-15.00;-0.65;874,290.00;2,006,508,705.00
2024-01-17;GEB;2,200.00;2,260.00;2,225.86;2,200.00;-90.00;-3.93;3,894,001.00;8,667,505,630.00
2024-01-18;GEB;2,150.00;2,215.00;2,195.24;2,150.00;-50.00;-2.27;4,291,230.00;9,420,288,310.00
2024-01-19;GEB;2,240.00;2,240.00;2,164.08;2,130.00;90.00;4.19;316,979.00;685,969,315.00
2024-01-22;GEB;2,200.00;2,240.00;2,214.49;2,165.00;-40.00;-1.79;2,968,652.00;6,574,046,050.00
2024-01-23;GEB;2,150.00;2,205.00;2,181.41;2,150.00;-50.00;-2.27;865,797.00;1,888,662,285.00
2024-01-24;GEB;2,110.00;2,180.00;2,144.14;2,110.00;-40.00;-1.86;335,637.00;719,652,215.00
2024-01-25;GEB;2,180.00;2,180.00;2,171.00;2,160.00;70.00;3.32;140,533.00;305,096,685.00
2024-01-26;GEB;2,200.00;2,200.00;2,185.07;2,155.00;20.00;0.92;331,822.00;725,054,115.00
2024-01-29;GEB;2,165.00;2,225.00;2,203.00;2,165.00;-35.00;-1.59;124,705.00;274,725,010.00
2024-01-30;GEB;2,250.00;2,250.00;2,233.49;2,185.00;85.00;3.93;375,760.00;839,255,470.00
2024-01-31;GEB;2,275.00;2,275.00;2,264.93;2,260.00;25.00;1.11;192,533.00;436,072,910.00
2024-02-01;GEB;2,250.00;2,260.00;2,253.01;2,250.00;-25.00;-1.10;180,128.00;405,830,160.00
2024-02-02;GEB;2,215.00;2,250.00;2,232.78;2,215.00;-35.00;-1.56;97,862.00;218,504,360.00
2024-02-05;GEB;2,200.00;2,220.00;2,214.33;2,200.00;-15.00;-0.68;59,834.00;132,492,515.00
2024-02-06;GEB;2,210.00;2,225.00;2,217.98;2,205.00;10.00;0.45;187,934.00;416,834,335.00
2024-02-07;GEB;2,230.00;2,230.00;2,200.58;2,200.00;20.00;0.90;2,865,024.00;6,304,725,305.00
