Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2024-01-02;GRUBOLIVAR;60,200.00;60,200.00;60,163.13;60,200.00;1,220.00;2.07;709.00;42,655,660.00
2024-01-03;GRUBOLIVAR;60,200.00;60,200.00;60,764.86;60,200.00;0.00;;321.00;19,505,520.00
2024-01-04;GRUBOLIVAR;60,500.00;60,800.00;60,526.33;60,200.00;300.00;0.50;1,113.00;67,365,800.00
2024-01-05;GRUBOLIVAR;61,000.00;61,000.00;60,982.08;61,000.00;500.00;0.83;1,738.00;105,986,860.00
2024-01-09;GRUBOLIVAR;60,000.00;61,760.00;60,508.46;60,000.00;-1,000.00;-1.64;1,674.00;101,291,160.00
2024-01-10;GRUBOLIVAR;60,000.00;60,000.00;60,000.51;60,000.00;0.00;;1,610.00;96,600,820.00
2024-01-11;GRUBOLIVAR;60,200.00;60,200.00;59,922.53;59,500.00;200.00;0.33;1,043.00;62,499,200.00
2024-01-12;GRUBOLIVAR;60,500.00;60,500.00;60,473.53;60,480.00;300.00;0.50;4,652.00;281,322,860.00
2024-01-15;GRUBOLIVAR;61,000.00;61,000.00;61,004.56;61,000.00;500.00;0.83;947.00;57,771,320.00
2024-01-16;GRUBOLIVAR;61,140.00;61,140.00;61,304.85;61,140.00;140.00;0.23;445.00;27,280,660.00
2024-01-17;GRUBOLIVAR;61,500.00;61,500.00;61,297.23;61,200.00;360.00;0.59;3,261.00;199,890,260.00
2024-01-18;GRUBOLIVAR;62,000.00;62,000.00;61,599.74;61,500.00;500.00;0.81;1,993.00;122,768,280.00
2024-01-19;GRUBOLIVAR;62,000.00;;61,791.63;;;;153.00;9,454,120.00
2024-01-22;GRUBOLIVAR;60,200.00;61,000.00;60,705.24;60,200.00;-1,800.00;-2.90;908.00;55,120,360.00
2024-01-23;GRUBOLIVAR;59,240.00;60,500.00;59,875.92;59,240.00;-960.00;-1.59;2,733.00;163,640,880.00
2024-01-24;GRUBOLIVAR;59,240.00;;60,104.18;;;;110.00;6,611,460.00
2024-01-25;GRUBOLIVAR;59,240.00;;59,516.36;;;;44.00;2,618,720.00
2024-01-26;GRUBOLIVAR;59,240.00;;60,350.09;;;;333.00;20,096,580.00
2024-01-29;GRUBOLIVAR;59,240.00;;60,646.51;;;;421.00;25,532,180.00
2024-01-30;GRUBOLIVAR;59,240.00;;60,469.78;;;;225.00;13,605,700.00
2024-01-31;GRUBOLIVAR;62,000.00;62,000.00;61,354.26;60,020.00;2,760.00;4.66;1,233.00;75,649,800.00
2024-02-01;GRUBOLIVAR;62,700.00;62,700.00;61,618.83;60,120.00;700.00;1.13;1,733.00;106,785,440.00
2024-02-02;GRUBOLIVAR;62,700.00;;62,500.00;;;;34.00;2,125,000.00
2024-02-05;GRUBOLIVAR;62,700.00;;62,831.50;;;;80.00;5,026,520.00
2024-02-06;GRUBOLIVAR;61,060.00;61,080.00;60,997.38;61,060.00;-1,640.00;-2.62;657.00;40,075,280.00
2024-02-07;GRUBOLIVAR;61,060.00;;62,135.83;;;;24.00;1,491,260.00
2024-02-08;GRUBOLIVAR;62,940.00;62,960.00;62,789.08;62,500.00;1,880.00;3.08;1,777.00;111,576,200.00
2024-02-09;GRUBOLIVAR;62,940.00;;61,210.89;;;;101.00;6,182,300.00
2024-02-12;GRUBOLIVAR;60,300.00;60,300.00;60,851.47;60,300.00;-2,640.00;-4.19;469.00;28,539,340.00
2024-02-13;GRUBOLIVAR;60,300.00;60,400.00;60,356.48;60,300.00;0.00;0.00;1,365.00;82,386,600.00
2024-02-14;GRUBOLIVAR;60,300.00;;60,970.70;;;;86.00;5,243,480.00
2024-02-15;GRUBOLIVAR;60,300.00;;61,394.29;;;;35.00;2,148,800.00
2024-02-16;GRUBOLIVAR;60,300.00;;62,156.60;;;;47.00;2,921,360.00
2024-02-19;GRUBOLIVAR;60,300.00;;60,387.63;;;;97.00;5,857,600.00
2024-02-20;GRUBOLIVAR;60,500.00;60,500.00;60,739.64;60,500.00;200.00;0.33;495.00;30,066,120.00
2024-02-21;GRUBOLIVAR;60,000.00;60,500.00;59,976.84;59,500.00;-500.00;-0.83;2,764.00;165,775,980.00
2024-02-22;GRUBOLIVAR;59,500.00;59,600.00;59,551.81;59,500.00;-500.00;-0.83;755.00;44,961,620.00
2024-02-23;GRUBOLIVAR;60,000.00;60,480.00;60,122.25;59,500.00;500.00;0.84;1,110.00;66,735,700.00
2024-02-26;GRUBOLIVAR;60,000.00;;60,250.00;;;;56.00;3,374,000.00
2024-02-27;GRUBOLIVAR;59,500.00;59,500.00;59,825.81;59,500.00;-500.00;-0.83;334.00;19,981,820.00
2024-02-28;GRUBOLIVAR;59,200.00;59,500.00;59,345.32;59,200.00;-300.00;-0.50;2,679.00;158,986,100.00
2024-02-29;GRUBOLIVAR;60,200.00;60,400.00;60,260.44;60,200.00;1,000.00;1.69;1,793.00;108,046,960.00
2024-03-01;GRUBOLIVAR;60,400.00;60,400.00;59,657.65;59,020.00;200.00;0.33;2,976.00;177,541,160.00
2024-03-04;GRUBOLIVAR;59,200.00;60,000.00;59,636.02;59,200.00;-1,200.00;-1.99;1,271.00;75,797,380.00
2024-03-05;GRUBOLIVAR;59,200.00;59,220.00;59,188.95;59,200.00;0.00;0.00;784.00;46,404,140.00
2024-03-06;GRUBOLIVAR;59,000.00;59,020.00;59,045.82;59,000.00;-200.00;-0.34;502.00;29,641,000.00
2024-03-07;GRUBOLIVAR;58,000.00;59,100.00;58,758.26;58,000.00;-1,000.00;-1.69;2,612.00;153,476,580.00
2024-03-08;GRUBOLIVAR;58,000.00;;58,366.11;;;;131.00;7,645,960.00
2024-03-11;GRUBOLIVAR;54,980.00;57,020.00;55,419.63;54,820.00;-3,020.00;-5.21;4,660.00;258,255,480.00
2024-03-12;GRUBOLIVAR;54,980.00;;54,463.25;;;;345.00;18,789,820.00
2024-03-13;GRUBOLIVAR;53,900.00;53,900.00;53,797.37;53,700.00;-1,080.00;-1.96;838.00;45,082,200.00
2024-03-14;GRUBOLIVAR;52,000.00;53,440.00;52,435.38;52,000.00;-1,900.00;-3.53;6,512.00;341,459,200.00
2024-03-15;GRUBOLIVAR;51,000.00;55,100.00;51,297.24;51,000.00;-1,000.00;-1.92;384,355.00;19,716,350,520.00
2024-03-18;GRUBOLIVAR;54,420.00;54,820.00;53,628.41;52,960.00;3,420.00;6.71;77,988.00;4,182,372,200.00
2024-03-19;GRUBOLIVAR;56,840.00;56,840.00;55,837.88;55,000.00;2,420.00;4.45;10,338.00;577,252,000.00
2024-03-20;GRUBOLIVAR;56,720.00;57,960.00;57,320.92;56,340.00;-120.00;-0.21;10,052.00;576,189,840.00
2024-03-21;GRUBOLIVAR;60,500.00;60,500.00;59,495.89;57,340.00;3,780.00;6.66;25,607.00;1,523,511,160.00
