Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2024-01-02;NUTRESA;45,780.00;46,000.00;45,919.92;45,780.00;780.00;1.73;1,935.00;88,855,040.00
2024-01-03;NUTRESA;46,500.00;46,500.00;46,263.64;46,500.00;720.00;1.57;1,495.00;69,164,140.00
2024-01-04;NUTRESA;45,900.00;46,280.00;45,922.03;45,040.00;-600.00;-1.29;4,861.00;223,226,980.00
2024-01-05;NUTRESA;44,980.00;45,220.00;45,100.05;44,980.00;-920.00;-2.00;5,072.00;228,747,440.00
2024-01-09;NUTRESA;45,880.00;46,380.00;45,380.57;44,980.00;900.00;2.00;13,790.00;625,798,120.00
2024-01-10;NUTRESA;46,260.00;46,300.00;45,262.46;45,020.00;380.00;0.83;6,278.00;284,157,740.00
2024-01-11;NUTRESA;45,680.00;46,460.00;45,218.73;44,680.00;-580.00;-1.25;2,943.00;133,078,720.00
2024-01-12;NUTRESA;45,200.00;45,960.00;45,191.52;45,120.00;-480.00;-1.05;37,287.00;1,685,056,380.00
2024-01-15;NUTRESA;45,200.00;;45,313.83;;;;405.00;18,352,100.00
2024-01-16;NUTRESA;43,960.00;45,200.00;44,668.05;43,960.00;-1,240.00;-2.74;4,092.00;182,781,660.00
2024-01-17;NUTRESA;44,360.00;45,500.00;44,533.78;44,340.00;400.00;0.91;11,142.00;496,195,400.00
2024-01-18;NUTRESA;44,020.00;45,080.00;44,215.71;44,020.00;-340.00;-0.77;2,756.00;121,858,500.00
2024-01-19;NUTRESA;44,500.00;44,500.00;44,381.95;44,500.00;480.00;1.09;802.00;35,594,320.00
2024-01-22;NUTRESA;43,980.00;44,380.00;43,860.18;43,660.00;-520.00;-1.17;4,494.00;197,107,640.00
2024-01-23;NUTRESA;44,160.00;44,160.00;43,312.82;43,000.00;180.00;0.41;14,693.00;636,395,260.00
2024-01-24;NUTRESA;44,000.00;44,440.00;44,116.03;44,000.00;-160.00;-0.36;2,929.00;129,215,860.00
2024-01-25;NUTRESA;44,200.00;44,660.00;44,053.61;43,260.00;200.00;0.45;4,340.00;191,192,660.00
2024-01-26;NUTRESA;44,520.00;44,520.00;44,320.98;44,000.00;320.00;0.72;2,938.00;130,215,040.00
2024-01-29;NUTRESA;43,000.00;44,780.00;43,404.47;43,000.00;-1,520.00;-3.41;14,086.00;611,395,360.00
2024-01-30;NUTRESA;42,980.00;44,400.00;43,153.52;42,980.00;-20.00;-0.05;20,946.00;903,893,640.00
2024-01-31;NUTRESA;44,960.00;45,620.00;45,095.66;44,000.00;1,980.00;4.61;19,059.00;859,478,100.00
2024-02-01;NUTRESA;45,400.00;45,400.00;45,215.40;44,420.00;440.00;0.98;5,399.00;244,117,920.00
2024-02-02;NUTRESA;45,680.00;45,680.00;45,365.68;44,140.00;280.00;0.62;29,599.00;1,342,778,680.00
2024-02-05;NUTRESA;46,000.00;46,000.00;45,947.78;45,800.00;320.00;0.70;5,060.00;232,495,760.00
2024-02-06;NUTRESA;46,300.00;46,380.00;46,215.31;46,000.00;300.00;0.65;2,350.00;108,605,980.00
2024-02-07;NUTRESA;46,880.00;46,880.00;46,329.66;46,080.00;580.00;1.25;11,793.00;546,365,660.00
2024-02-08;NUTRESA;46,880.00;;46,795.26;;;;870.00;40,711,880.00
2024-02-09;NUTRESA;46,000.00;46,020.00;46,037.16;45,600.00;-880.00;-1.88;11,560.00;532,189,580.00
2024-02-12;NUTRESA;46,000.00;;45,735.77;;;;378.00;17,288,120.00
2024-02-13;NUTRESA;46,740.00;46,740.00;45,860.89;45,140.00;740.00;1.61;5,060.00;232,056,120.00
2024-02-14;NUTRESA;46,700.00;46,740.00;46,473.47;46,300.00;-40.00;-0.09;1,376.00;63,947,500.00
2024-02-15;NUTRESA;46,700.00;;46,427.23;;;;47.00;2,182,080.00
2024-02-16;NUTRESA;46,700.00;;45,761.09;;;;350.00;16,016,380.00
2024-02-19;NUTRESA;46,700.00;;;;;;;
2024-02-20;NUTRESA;46,700.00;;;;;;;
2024-02-21;NUTRESA;46,700.00;;;;;;;
2024-02-22;NUTRESA;46,700.00;;;;;;;
2024-02-23;NUTRESA;46,700.00;;;;;;;
2024-02-26;NUTRESA;46,700.00;;;;;;;
2024-02-27;NUTRESA;46,700.00;;;;;;;
2024-02-28;NUTRESA;46,700.00;;;;;;;
2024-02-29;NUTRESA;46,700.00;;;;;;;
