Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2024-01-02;PFGRUPSURA;13,620.00;13,700.00;13,544.79;13,500.00;120.00;0.89;12,654.00;171,395,780.00
2024-01-03;PFGRUPSURA;14,040.00;14,200.00;14,001.05;13,820.00;420.00;3.08;37,904.00;530,695,940.00
2024-01-04;PFGRUPSURA;14,540.00;14,540.00;14,420.61;14,080.00;500.00;3.56;89,792.00;1,294,855,740.00
2024-01-05;PFGRUPSURA;15,000.00;15,320.00;15,070.37;14,600.00;460.00;3.16;113,563.00;1,711,436,560.00
2024-01-09;PFGRUPSURA;15,620.00;15,680.00;15,315.55;14,800.00;620.00;4.13;86,029.00;1,317,581,300.00
2024-01-10;PFGRUPSURA;15,200.00;15,700.00;15,478.49;15,120.00;-420.00;-2.69;113,167.00;1,751,654,800.00
2024-01-11;PFGRUPSURA;15,100.00;15,400.00;15,224.14;15,100.00;-100.00;-0.66;43,629.00;664,214,180.00
2024-01-12;PFGRUPSURA;15,500.00;15,500.00;15,195.69;15,000.00;400.00;2.65;50,995.00;774,904,300.00
2024-01-15;PFGRUPSURA;15,680.00;15,700.00;15,472.47;15,300.00;180.00;1.16;19,358.00;299,516,000.00
2024-01-16;PFGRUPSURA;16,300.00;16,480.00;16,134.86;15,680.00;620.00;3.95;162,425.00;2,620,704,040.00
2024-01-17;PFGRUPSURA;16,380.00;16,400.00;16,282.09;16,140.00;80.00;0.49;74,284.00;1,209,498,440.00
2024-01-18;PFGRUPSURA;16,800.00;16,800.00;16,776.10;16,400.00;420.00;2.56;1,040,288.00;17,451,980,080.00
2024-01-19;PFGRUPSURA;16,900.00;17,480.00;17,031.54;16,760.00;100.00;0.60;142,626.00;2,429,140,880.00
2024-01-22;PFGRUPSURA;17,340.00;17,340.00;17,056.07;16,100.00;440.00;2.60;105,246.00;1,795,083,480.00
2024-01-23;PFGRUPSURA;17,600.00;17,680.00;17,592.03;17,340.00;260.00;1.50;121,626.00;2,139,648,640.00
2024-01-24;PFGRUPSURA;17,380.00;17,600.00;17,346.97;17,240.00;-220.00;-1.25;70,266.00;1,218,902,000.00
2024-01-25;PFGRUPSURA;17,200.00;17,220.00;17,162.68;17,080.00;-180.00;-1.04;36,632.00;628,703,360.00
2024-01-26;PFGRUPSURA;16,940.00;17,300.00;17,188.66;16,940.00;-260.00;-1.51;113,349.00;1,948,317,040.00
2024-01-29;PFGRUPSURA;16,780.00;17,000.00;16,845.06;16,780.00;-160.00;-0.94;53,472.00;900,739,020.00
2024-01-30;PFGRUPSURA;16,500.00;16,700.00;16,578.70;16,460.00;-280.00;-1.67;43,534.00;721,737,080.00
2024-01-31;PFGRUPSURA;16,400.00;16,540.00;16,452.34;16,380.00;-100.00;-0.61;31,753.00;522,411,160.00
2024-02-01;PFGRUPSURA;16,300.00;16,400.00;16,118.30;16,000.00;-100.00;-0.61;62,279.00;1,003,831,700.00
2024-02-02;PFGRUPSURA;15,980.00;16,200.00;16,075.52;15,980.00;-320.00;-1.96;47,536.00;764,165,940.00
2024-02-05;PFGRUPSURA;15,820.00;15,980.00;15,873.32;15,800.00;-160.00;-1.00;16,097.00;255,512,840.00
2024-02-06;PFGRUPSURA;16,100.00;16,320.00;16,060.10;15,800.00;280.00;1.77;39,717.00;637,859,060.00
2024-02-07;PFGRUPSURA;16,860.00;16,940.00;16,813.97;16,500.00;760.00;4.72;73,010.00;1,227,587,900.00
2024-02-08;PFGRUPSURA;16,560.00;17,080.00;16,745.22;16,560.00;-300.00;-1.78;72,339.00;1,211,332,280.00
2024-02-09;PFGRUPSURA;16,220.00;16,900.00;16,581.06;16,220.00;-340.00;-2.05;35,666.00;591,380,180.00
